ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error,Requalification_Action_v0_27,Shadow_Data_Qualification_v0_27,Further_Blind_Redownload_v0_27
WS:XASX:MSB,MSB.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.003937007874015748,2024-08-28,2026-08-28,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XASX:RYM,RYM.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,228,228,0,0,0.07456140350877193,2025-10-06,2026-08-28,2026-08-29T05:56:55+00:00,YF-20260829T055654534985-a4f715c2,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
WS:XASX:TUA,TUA.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.001968503937007874,2024-08-28,2026-08-28,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XETR:AMV0N.DE,AMV0.DE,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,239,238,0,0,0.06722689075630252,2025-09-18,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XKRX:0126Z0,0126Z0.KS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,186,186,0,0,0.0,2025-11-25,2026-08-28,2026-08-29T05:56:55+00:00,YF-20260829T055654534985-a4f715c2,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
WS:XLON:ROR.L,ROR.L,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,507,0,1,0.0,2024-08-28,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XNZE:THL,THL.NZ,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.001996007984031936,2024-08-28,2026-08-28,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XOSL:KMAR.OL,KMAR.OL,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,89,88,0,0,0.0,2026-04-23,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XPAR:ABVX.PA,ABVX.PA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,510,0,1,0.0,2024-08-28,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XSHE:001280,001280.SZ,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,180,180,0,0,0.0,2025-12-03,2026-08-28,2026-08-29T05:56:55+00:00,YF-20260829T055654534985-a4f715c2,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
WS:XSTO:OCTVSDB.ST,OCTV,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,69,68,0,0,0.0,2026-05-21,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XSTO:VSURE.ST,VSURE.ST,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,1,1,0,0,0.0,2026-08-28,2026-08-28,2026-08-29T05:56:55+00:00,YF-20260829T055654534985-a4f715c2,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
WS:XTSE:IAU,IAU.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,502,0,1,0.0,2024-08-28,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XTSE:LAC,LAC.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,502,0,1,0.0,2024-08-28,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
