WS_ID,Yahoo_Symbol,History_State,History_Source,Unique_Bars,Valid_Bars,First_Bar,Last_Bar,Future,Duplicates,Dup_Source,Pass_260,Pass_252,Bar_QA_Status,Eligibility_DryRun,Sqlite_Used
WS:ISIN:INE646L01027,INDIGO.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE669C01036,TECHM.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE721A01047,SHRIRAMFIN.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE733E01010,NTPC.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE742F01042,ADANIPORTS.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE752E01010,POWERGRID.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE758E01017,JIOFIN.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE758T01015,ETERNAL.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE795G01014,HDFCLIFE.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION,NO
WS:ISIN:INE849A01020,TRENT.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE860A01027,HCLTECH.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE917I01010,BAJAJ-AUTO.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE918I01026,BAJAJFINSV.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
