WS_ID,Yahoo_Symbol,Name,Primary_MIC,Mapping_Status,Instrument_Type,Share_Class,History_State,History_Source,Unique_Bars,Valid_Bars,Liquidity_Class,Liquidity_Source,Usable20,MedianTurnover20_EUR,Quote_Scale,Eligibility_DryRun,In_v0_50_147,Universe_Write,Scalable_Universe_Raw,Scalable_QA,Scalable_Live_Check,Bar_Unique,Bar_Valid,Bar_First,Bar_Last,Bar_Future,Bar_Dups,Bar_Dup_Source,Bar_QA_Status,Eligibility_DryRun_Unchanged
WS:ISIN:INE721A01047,SHRIRAMFIN.NS,Shriram Finance Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,34124071.29,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE733E01010,NTPC.NS,NTPC Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,23225718.91,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE742F01042,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,27294137.5,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE752E01010,POWERGRID.NS,Power Grid Corporation of India Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,18458330.95,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE758E01017,JIOFIN.NS,Jio Financial Services Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,22081904.33,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE758T01015,ETERNAL.NS,Eternal Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,78475859.0,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE795G01014,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,LOW_EXCEPTION,v0.38,20,12818215.53,1.0,LOW_LIQUIDITY_EXCEPTION,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION
WS:ISIN:INE849A01020,TRENT.NS,Trent Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,STANDARD,v0.38,20,18328002.92,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE860A01027,HCLTECH.NS,HCL Technologies Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,19024362.01,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE917I01010,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,23403495.55,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
