WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:ISIN:INE758E01017,Jio Financial Services Ltd.,INE758E01017,COMMON_STOCK,India,JIOFIN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE758T01015,Eternal Ltd.,INE758T01015,COMMON_STOCK,India,ETERNAL,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE795G01014,HDFC Life Insurance Company Ltd.,INE795G01014,COMMON_STOCK,India,HDFCLIFE,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE849A01020,Trent Ltd.,INE849A01020,COMMON_STOCK,India,TRENT,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE860A01027,HCL Technologies Ltd.,INE860A01027,COMMON_STOCK,India,HCLTECH,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE917I01010,Bajaj Auto Ltd.,INE917I01010,COMMON_STOCK,India,BAJAJ-AUTO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE918I01026,Bajaj Finserv Ltd.,INE918I01026,COMMON_STOCK,India,BAJAJFINSV,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:KYG022421088,ALCHIP TECHNOLOGIES LIMITED,KYG022421088,COMMON_STOCK,Taiwan,3661,Taiwan Stock Exchange,XTAI,TWD,,,TW_TW50,TW_TW50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_FTSE_TW50_CW_20260630,2026-06-30,2026-08-22 18:43:59.282,,
WS:ISIN:KYG114741062,BIZLINK HOLDING INC.,KYG114741062,COMMON_STOCK,Taiwan,3665,Taiwan Stock Exchange,XTAI,TWD,,,TW_TW50,TW_TW50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_FTSE_TW50_CW_20260630,2026-06-30,2026-08-22 18:43:59.282,,
WS:ISIN:KYG989221000,ZHEN DING TECHNOLOGY HOLDING LIMITED,KYG989221000,COMMON_STOCK,Taiwan,4958,Taiwan Stock Exchange,XTAI,TWD,,,TW_TW50,TW_TW50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_FTSE_TW50_CW_20260630,2026-06-30,2026-08-22 18:43:59.282,,
