WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,G3_Segment
WS:XTKS:9843,"NITORI HOLDINGS CO., LTD.",,COMMON_STOCK,Japan,9843,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:8795,"T&D HOLDINGS, INC.",,COMMON_STOCK,Japan,8795,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:3402,"TORAY INDUSTRIES, INC.",,COMMON_STOCK,Japan,3402,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:9147,"NIPPON EXPRESS HOLDINGS, INC.",,COMMON_STOCK,Japan,9147,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:9532,"OSAKA GAS CO., LTD.",,COMMON_STOCK,Japan,9532,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:9983,"FAST RETAILING CO., LTD.",,COMMON_STOCK,Japan,9983,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:7270,SUBARU CORP.,,COMMON_STOCK,Japan,7270,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:4902,"KONICA MINOLTA, INC.",,COMMON_STOCK,Japan,4902,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:3382,"SEVEN & I HOLDINGS CO., LTD.",,COMMON_STOCK,Japan,3382,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:4151,"KYOWA KIRIN CO., LTD.",,COMMON_STOCK,Japan,4151,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:7532,PAN PACIFIC INTERNATIONAL HOLDINGS CORP.,,COMMON_STOCK,Japan,7532,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
