Security_Key,Source_WS_ID,Evidence_Cohort,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Evidence_Artifact
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,BASE_1633,XNSE,TRENT,TRENT.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,BASE_1633,XNSE,HCLTECH,HCLTECH.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,BASE_1633,XNSE,BAJAJ-AUTO,BAJAJ-AUTO.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,BASE_1633,XNSE,BAJAJFINSV,BAJAJFINSV.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,BASE_1633,XTAI,3661,3661.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,BASE_1633,XTAI,3665,3665.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,BASE_1633,XTAI,4958,4958.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,BASE_1633,XTAI,1216,1216.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,BASE_1633,XTAI,1303,1303.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,BASE_1633,XTAI,2059,2059.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,BASE_1633,XTAI,2301,2301.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,BASE_1633,XTAI,2303,2303.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,BASE_1633,XTAI,2308,2308.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,BASE_1633,XTAI,2317,2317.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
