Primary_Ticker_Candidate,Security_Name_Official,B3_Type,Theoretical_Quantity,Participation_Pct,Segment_ID,Primary_MIC_Candidate,Source_ID,Source_URL,Source_AsOf_Observed_UTC,Canonical_Import_v0_30,Identity_Reconciliation_Required
ITUB4,ITAUUNIBANCO,PN      N1,5.349.695.485,"7,949",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864496+00:00,False,True
JHSF3,JHSF PART,ON  ED  NM,260.721.097,"0,101",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864500+00:00,False,True
KLBN11,KLABIN S/A,UNT     N2,804.572.623,"0,576",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864503+00:00,False,True
RENT3,LOCALIZA,ON      NM,978.479.038,"1,291",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864507+00:00,False,True
LREN3,LOJAS RENNER,ON      NM,982.593.716,"0,399",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864511+00:00,False,True
MGLU3,MAGAZ LUIZA,ON      NM,373.155.063,"0,065",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864514+00:00,False,True
POMO4,MARCOPOLO,PN  ED  N2,728.266.241,"0,122",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864518+00:00,False,True
MBRF3,MARFRIG,ON      NM,761.175.338,"0,526",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864521+00:00,False,True
BEEF3,MINERVA,ON  ATZ NM,454.804.863,"0,067",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864525+00:00,False,True
MOTV3,MOTIVA SA,ON      NM,1.002.196.725,"0,572",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864529+00:00,False,True
MDNE3,MOURA DUBEUX,ON      NM,62.112.530,"0,057",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864532+00:00,False,True
MOVI3,MOVIDA,ON      NM,165.088.193,"0,044",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864536+00:00,False,True
MRVE3,MRV,ON      NM,374.681.353,"0,074",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864540+00:00,False,True
MULT3,MULTIPLAN,ON      N2,320.022.221,"0,332",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864543+00:00,False,True
NATU3,NATURA,ON      NM,838.359.453,"0,278",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864547+00:00,False,True
