WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:XMEX:BIMBOA,BIMBOA.MX,BIMBO A,BIMBOA,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:01.444666+00:00
WS:XMEX:BOLSAA,BOLSAA.MX,BOLSA A,BOLSAA,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:01.662414+00:00
WS:XMEX:CEMEXCPO,CEMEXCPO.MX,CEMEX CPO,CEMEXCPO,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:01.875573+00:00
WS:XMEX:CUERVO,CUERVO.MX,CUERVO,CUERVO,DERIVED_RULE,2026-08-23T22:05:01.876754+00:00
WS:XMEX:ELEKTRA,ELEKTRA.MX,ELEKTRA,ELEKTRA,DERIVED_RULE,2026-08-23T22:05:01.877906+00:00
WS:XMEX:GAPB,GAPB.MX,GAP B,GAPB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:02.306875+00:00
WS:XMEX:GCARSOA1,GCARSOA1.MX,GCARSO A1,GCARSOA1,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:02.525117+00:00
WS:XMEX:GCC,GCC.MX,GCC,GCC,DERIVED_RULE,2026-08-23T22:05:02.526327+00:00
WS:XMEX:GMEXICOB,GMEXICOB.MX,GMEXICO B,GMEXICOB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:03.209854+00:00
WS:XMEX:GRUMAB,GRUMAB.MX,GRUMA B,GRUMAB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:03.427966+00:00
WS:XMEX:KIMBERA,KIMBERA.MX,KIMBER A,KIMBERA,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:03.642882+00:00
WS:XMEX:KOFUBL,KOFUBL.MX,KOFUBL,KOFUBL,DERIVED_RULE,2026-08-23T22:05:03.644095+00:00
WS:XMEX:LABB,LABB.MX,LAB B,LABB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:03.856278+00:00
WS:XMEX:LIVEPOLC-1,LIVEPOLC-1.MX,LIVEPOL C-1,LIVEPOLC-1,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:04.073930+00:00
WS:XMEX:OMAB,OMAB.MX,OMA B,OMAB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:04.593356+00:00
WS:XMEX:ORBIA,ORBIA.MX,ORBIA,ORBIA,DERIVED_RULE,2026-08-23T22:05:04.594548+00:00
WS:XMEX:PE&OLES,PE&OLES.MX,PE&OLES,PE&OLES,DERIVED_RULE,2026-08-23T22:05:04.595692+00:00
WS:XMEX:PINFRA,PINFRA.MX,PINFRA,PINFRA,DERIVED_RULE,2026-08-23T22:05:04.596829+00:00
WS:XMEX:Q,Q.MX,Q,Q,DERIVED_RULE,2026-08-23T22:05:04.597960+00:00
WS:XMEX:RA,RA.MX,R A,RA,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:04.830585+00:00
WS:XMEX:TLEVISACPO,TLEVISACPO.MX,TLEVISA CPO,TLEVISACPO,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:05.044524+00:00
WS:XMEX:VESTA,VESTA.MX,VESTA,VESTA,DERIVED_RULE,2026-08-23T22:05:05.045718+00:00
WS:XMEX:WALMEX,WALMEX.MX,WALMEX,WALMEX,DERIVED_RULE,2026-08-23T22:05:05.327780+00:00
WS:SRC:ZA_TOP40:119B9827CB58256B,VAL.JO,,VAL,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:07.274560+00:00
WS:SRC:ZA_TOP40:13F6B84E5B9DFB4E,INP.JO,,INP,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:07.483642+00:00
WS:SRC:ZA_TOP40:1A236465C92C27FB,BVT.JO,,BVT,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:07.757961+00:00
WS:SRC:ZA_TOP40:1A460F7B08BC8A81,ANG.JO,,ANG,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:07.969662+00:00
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NRP.JO,,NRP,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:08.178897+00:00
WS:SRC:ZA_TOP40:302AA746912AD383,PRX.JO,,PRX,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:09.164329+00:00
WS:SRC:ZA_TOP40:3A0242B9DA294CBC,NED.JO,,NED,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:09.799701+00:00
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,SOLBE1.JO,,SOLBE1,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:10.074467+00:00
WS:SRC:ZA_TOP40:5F247CB49B9B155E,VOD.JO,,VOD,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:10.317510+00:00
WS:SRC:ZA_TOP40:670585B513E60D68,WHL.JO,,WHL,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:10.528676+00:00
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,CLS.JO,,CLS,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:10.744473+00:00
