WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XASX:FLT,Flight Centre Travel Group,AU_ASX200,Australia,XASX,FLT,FLT.AX,DERIVED_RULE,FLT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:FMG,Fortescue,AU_ASX200,Australia,XASX,FMG,FMG.AX,DERIVED_RULE,FMG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:FPH,Fisher & Paykel Healthcare,AU_ASX200,Australia,XASX,FPH,FPH.AX,DERIVED_RULE,FPH.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:FRW,Freightways Group,AU_ASX200,Australia,XASX,FRW,FRW.AX,DERIVED_RULE,FRW.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GDG,Generation Development Group,AU_ASX200,Australia,XASX,GDG,GDG.AX,DERIVED_RULE,GDG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GGP,Greatland Resources,AU_ASX200,Australia,XASX,GGP,GGP.AX,DERIVED_RULE,GGP.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GMD,Genesis Minerals,AU_ASX200,Australia,XASX,GMD,GMD.AX,DERIVED_RULE,GMD.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GMG,Goodman Group,AU_ASX200,Australia,XASX,GMG,GMG.AX,DERIVED_RULE,GMG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GNE,Genesis Energy,AU_ASX200,Australia,XASX,GNE,GNE.AX,DERIVED_RULE,GNE.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GPT,GPT Group,AU_ASX200,Australia,XASX,GPT,GPT.AX,DERIVED_RULE,GPT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:GQG,GQG Partners,AU_ASX200,Australia,XASX,GQG,GQG.AX,DERIVED_RULE,GQG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:HDN,HomeCo Daily Needs REIT,AU_ASX200,Australia,XASX,HDN,HDN.AX,DERIVED_RULE,HDN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:HUB,HUB24,AU_ASX200,Australia,XASX,HUB,HUB.AX,DERIVED_RULE,HUB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:HVN,Harvey Norman,AU_ASX200,Australia,XASX,HVN,HVN.AX,DERIVED_RULE,HVN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:IAG,Insurance Australia Group,AU_ASX200,Australia,XASX,IAG,IAG.AX,DERIVED_RULE,IAG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:IFL,Insignia Financial,AU_ASX200,Australia,XASX,IFL,IFL.AX,DERIVED_RULE,IFL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:IFT,Infratil,AU_ASX200,Australia,XASX,IFT,IFT.AX,DERIVED_RULE,IFT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:IGO,IGO,AU_ASX200,Australia,XASX,IGO,IGO.AX,DERIVED_RULE,IGO.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ILU,Iluka Resources,AU_ASX200,Australia,XASX,ILU,ILU.AX,DERIVED_RULE,ILU.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:IMD,IMDEX,AU_ASX200,Australia,XASX,IMD,IMD.AX,DERIVED_RULE,IMD.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:JBH,JB Hi-Fi,AU_ASX200,Australia,XASX,JBH,JBH.AX,DERIVED_RULE,JBH.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:JHX,James Hardie,AU_ASX200,Australia,XASX,JHX,JHX.AX,DERIVED_RULE,JHX.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:L1G,L1 Group,AU_ASX200,Australia,XASX,L1G,L1G.AX,DERIVED_RULE,L1G.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:LLC,Lendlease,AU_ASX200,Australia,XASX,LLC,LLC.AX,DERIVED_RULE,LLC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:LNW,Light & Wonder,AU_ASX200,Australia,XASX,LNW,LNW.AX,DERIVED_RULE,LNW.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
