WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XSTO:SAGAB.ST,SAGAX 'B',EU_STOXX600,SE,XSTO,SAGAb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SCAB.ST,SVENSKA CELLULOSA AKTIE. SCA B,EU_STOXX600,SE,XSTO,SCAb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SEBA.ST,SKANDINAVISKA ENSKILDA BK A,EU_STOXX600,SE,XSTO,SEBa.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SECTB.ST,SECTRA 'B',EU_STOXX600,SE,XSTO,SECTb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SECUB.ST,SECURITAS B,EU_STOXX600,SE,XSTO,SECUb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SKAB.ST,SKANSKA B,EU_STOXX600,SE,XSTO,SKAb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SKFB.ST,SKF B,EU_STOXX600,SE,XSTO,SKFb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SSABB.ST,SSAB B,EU_STOXX600,SE,XSTO,SSABb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SWECB.ST,SWECO 'B',EU_STOXX600,SE,XSTO,SWECb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:TEL2B.ST,TELE2 B,EU_STOXX600,SE,XSTO,TEL2b.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
