WS_ID,Primary_MIC,Primary_Ticker,Security_Name,Instrument_Type,Source_ID,Source_AsOf,Source_Superset_Member,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_Plan_State,Scalable_Tradeability_Status,Planned_Master_Action,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:SAUD3,BVMF,SAUD3,BRADSAUDE,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SBSP3,BVMF,SBSP3,SABESP,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SIMH3,BVMF,SIMH3,SIMPAR,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SLCE3,BVMF,SLCE3,SLC AGRICOLA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SMFT3,BVMF,SMFT3,SMART FIT,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SMTO3,BVMF,SMTO3,SAO MARTINHO,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SUZB3,BVMF,SUZB3,SUZANO S.A.,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:TAEE11,BVMF,TAEE11,TAESA,UNIT,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:TEND3,BVMF,TEND3,TENDA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:TIMS3,BVMF,TIMS3,TIM,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
