WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32
WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,MULTIPLAN,ORDINARY_SHARE,2026-08-31,2026-08-27,83,96734045.47,16150529.18,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:NATU3,BVMF,NATU3,NATU3.SA,NATURA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,35227231.93,5850621.54,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ORVR3,BVMF,ORVR3,ORVR3.SA,ORIZON,ORDINARY_SHARE,2026-08-31,2026-08-27,83,42220191.39,7123200.57,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,PETROBRAS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,452743497.84,76616225.47,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,PRIO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,397716036.47,66136314.77,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:PSSA3,BVMF,PSSA3,PSSA3.SA,PORTO SEGURO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,71346599.26,12065270.48,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,RAIADROGASIL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,185362676.11,30899869.56,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,RUMO S.A.,ORDINARY_SHARE,2026-08-31,2026-08-27,83,165232440.17,27590923.51,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,REDE D OR,ORDINARY_SHARE,2026-08-31,2026-08-27,83,228263702.89,38028058.32,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:RECV3,BVMF,RECV3,RECV3.SA,PETRORECSA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,18399391.59,3050330.48,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
