WS_ID,Before_Row_SHA256,After_Row_SHA256,Changed
WS:XTSE:TXG,65d5ee742741fa79648adfc1a3baa5440b92a52943cd3af17c98c494680a13a4,65d5ee742741fa79648adfc1a3baa5440b92a52943cd3af17c98c494680a13a4,False
WS:XTSE:USA,3bfe7bb0a758b5d44048c806fc99c19cd041306cfbb35c868c03e0acc0015705,3bfe7bb0a758b5d44048c806fc99c19cd041306cfbb35c868c03e0acc0015705,False
WS:XTSE:VET,2c47d77387c31825ed046af4789df6dbcc2a0c4f996166e0a4ea5453b5efd5c2,2c47d77387c31825ed046af4789df6dbcc2a0c4f996166e0a4ea5453b5efd5c2,False
WS:XTSE:VNP,26dbde053ce0cc1b1dae3628de2c54f3422fbfa158e4b3d2049767e715285221,26dbde053ce0cc1b1dae3628de2c54f3422fbfa158e4b3d2049767e715285221,False
WS:XTSE:VZLA,a3e932b94ce851442f66899357abefb0d866448f5b153d2a455b707908cb08bb,a3e932b94ce851442f66899357abefb0d866448f5b153d2a455b707908cb08bb,False
WS:XTSE:WCN,82e7597fe2cac47ede27e0f397dfb3557529e8e27e7c07cc3ed834ff23529384,82e7597fe2cac47ede27e0f397dfb3557529e8e27e7c07cc3ed834ff23529384,False
WS:XTSE:WCP,7f9b9f9db0404720d80465132592cfa0c6d4cf26dd9dc82c433cda2847734134,7f9b9f9db0404720d80465132592cfa0c6d4cf26dd9dc82c433cda2847734134,False
WS:XTSE:WDO,764b8b39659ff87012cdf5f17a1ee2581b57e4f778ab4d65cb28b9bcc738d847,764b8b39659ff87012cdf5f17a1ee2581b57e4f778ab4d65cb28b9bcc738d847,False
WS:XTSE:WFG,c217624985d0487ade9c3185c17d36a2b10c0269fefe8c14d38d5c0ffb46847e,c217624985d0487ade9c3185c17d36a2b10c0269fefe8c14d38d5c0ffb46847e,False
WS:XTSE:WN,b60ee9b522bea07399f45d934108bf461808a4d5222d5e3fbb5559701c09d84c,b60ee9b522bea07399f45d934108bf461808a4d5222d5e3fbb5559701c09d84c,False
WS:XTSE:WPM,3d70bf2f91f5f02a245ffda178b0a445e9c125dc10a3fb8b8ffa9d9d3aa96915,3d70bf2f91f5f02a245ffda178b0a445e9c125dc10a3fb8b8ffa9d9d3aa96915,False
WS:XTSE:WSP,a2a55e13753ef24c6509d99dbf55636b1abdb10e321b6701bf09a606a25f0ee2,a2a55e13753ef24c6509d99dbf55636b1abdb10e321b6701bf09a606a25f0ee2,False
WS:XTSE:X,d1d27632bc9b18b63743eae9b50032a3802c489c87a89baa93aeba598b7bcc07,d1d27632bc9b18b63743eae9b50032a3802c489c87a89baa93aeba598b7bcc07,False
WS:XWAR:ACPP.WA,95b6e81c250b03d70816e91b1f5a427d7c2d326e0cefcf3ca22193100d2a3fa9,95b6e81c250b03d70816e91b1f5a427d7c2d326e0cefcf3ca22193100d2a3fa9,False
WS:XWAR:ALEP.WA,f4c2095b0c965c8fedddeaead272f0409fc4242bdcf483d41cda5181ab33ed60,f4c2095b0c965c8fedddeaead272f0409fc4242bdcf483d41cda5181ab33ed60,False
WS:XWAR:BFT.WA,823b7fcac194b64c471dabf2ae97e385fbe04a3fe9cdcad2b608766f78013a75,823b7fcac194b64c471dabf2ae97e385fbe04a3fe9cdcad2b608766f78013a75,False
WS:XWAR:CDR.WA,9c5abd42f3374dee192ed81858afdba7061d49e6f06728452ca08cabcda8ded0,9c5abd42f3374dee192ed81858afdba7061d49e6f06728452ca08cabcda8ded0,False
WS:XWAR:DNP.WA,7cfcceab9f321318387563b79cf1d11cb162b06630c0be58dcd0680c0a0ef429,7cfcceab9f321318387563b79cf1d11cb162b06630c0be58dcd0680c0a0ef429,False
WS:XWAR:EBP.WA,f5b5c37cdd41a351fff9d8f2c7b77433a8b704d1cd4b2bbad525414b9566ffb0,f5b5c37cdd41a351fff9d8f2c7b77433a8b704d1cd4b2bbad525414b9566ffb0,False
WS:XWAR:INGP.WA,9826b4aea4bc686f2f7c8fddaf05a97f52c1e46c7623500457a0ca9ebb75a2f6,9826b4aea4bc686f2f7c8fddaf05a97f52c1e46c7623500457a0ca9ebb75a2f6,False
WS:XWAR:KGH.WA,91a21e297e0203170df57f93300666c742a37dd5bb77de18eab7e318519d4dab,91a21e297e0203170df57f93300666c742a37dd5bb77de18eab7e318519d4dab,False
WS:XWAR:KTY.WA,384e0564c570d43719ddffd07ca201f5032b1dda49c38a9e7568ea6f627e0434,384e0564c570d43719ddffd07ca201f5032b1dda49c38a9e7568ea6f627e0434,False
WS:XWAR:LPPP.WA,f9554e6de4c0a1c78333a7eddf6551f5650dde48f0588b6f59a50748b904004a,f9554e6de4c0a1c78333a7eddf6551f5650dde48f0588b6f59a50748b904004a,False
