WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:FLRY3,FLEURY,,ORDINARY_SHARE,Brazil,FLRY3,B3,BVMF,BRL,FLRY3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:GGBR4,GERDAU,,PREFERRED_SHARE,Brazil,GGBR4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN ED N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:GGPS3,GPS,,ORDINARY_SHARE,Brazil,GGPS3,B3,BVMF,BRL,GGPS3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:GMAT3,GRUPO MATEUS,,ORDINARY_SHARE,Brazil,GMAT3,B3,BVMF,BRL,GMAT3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:GOAU4,GERDAU MET,,PREFERRED_SHARE,Brazil,GOAU4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN ED N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:HAPV3,HAPVIDA,,ORDINARY_SHARE,Brazil,HAPV3,B3,BVMF,BRL,HAPV3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:HYPE3,HYPERA,,ORDINARY_SHARE,Brazil,HYPE3,B3,BVMF,BRL,HYPE3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:IGTI11,IGUATEMI S.A,,UNIT,Brazil,IGTI11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,UNT N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:INTB3,INTELBRAS,,ORDINARY_SHARE,Brazil,INTB3,B3,BVMF,BRL,INTB3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:IRBR3,IRBBRASIL RE,,ORDINARY_SHARE,Brazil,IRBR3,B3,BVMF,BRL,IRBR3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ISAE4,ISA ENERGIA,,PREFERRED_SHARE,Brazil,ISAE4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ITSA4,ITAUSA,,PREFERRED_SHARE,Brazil,ITSA4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ITUB3,ITAUUNIBANCO,,ORDINARY_SHARE,Brazil,ITUB3,B3,BVMF,BRL,ITUB3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ITUB4,ITAUUNIBANCO,,PREFERRED_SHARE,Brazil,ITUB4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:JHSF3,JHSF PART,,ORDINARY_SHARE,Brazil,JHSF3,B3,BVMF,BRL,JHSF3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON ED NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:KLBN11,KLABIN S/A,,UNIT,Brazil,KLBN11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,UNT N2,v0.33 controlled source-superset projection only; no canonical import
