Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,MedianTurnover20_EUR,Eligibility_DryRun,Prospective_Frozen_Status,Cap_Action,Freeze_Authorized,Universe_Write,Productive
74,WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,NTPC,23225718.91392939,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
75,WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,ADANIPORTS,27294137.49737721,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
76,WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,POWERGRID,18458330.951314714,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
77,WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,JIOFIN,22081904.326629996,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
78,WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,ETERNAL,78475859.00037341,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
79,WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,TRENT,18328002.92103441,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
80,WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,HCLTECH,19024362.007491812,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
81,WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,BAJAJ-AUTO,23403495.547219716,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
82,WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,15723292.115014508,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
83,WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,207279119.01359683,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
84,WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,192602540.03017524,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
85,WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,421201593.8067701,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
86,WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,27152390.75108891,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
87,WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,451266230.4797486,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
88,WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,177006595.38707998,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
89,WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,262929543.3846386,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
90,WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,448707105.90657127,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
91,WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,451874926.14605165,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
92,WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,238115462.6119715,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
93,WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,756655444.7090428,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
94,WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,1148847214.510353,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
95,WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,739839158.0228558,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
96,WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,177269824.5881004,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
97,WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,78818013.77517512,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
98,WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,122556136.20825031,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
99,WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,315312533.65048736,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
100,WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,133472427.24887307,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
101,WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,284522620.58165985,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
102,WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,64855319.40951374,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
103,WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,1196218818.915217,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
104,WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,30589512.79864295,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
105,WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,102444606.6745086,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
106,WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,713929368.076232,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
