WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XETR:IFXGN.DE,INFINEON TECHNOLOGIES,IFXGn.DE,,IFX.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:LEGN.DE,LEG IMMOBILIEN,LEGn.DE,,LEG.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:LHAG.DE,LUFTHANSA,LHAG.DE,,LHA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:MBGN.DE,MERCEDES-BENZ GROUP,MBGn.DE,,MBG.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:MTXGN.DE,MTU AERO ENGINES,MTXGn.DE,,MTX.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:MUVGN.DE,MUENCHENER RUECK,MUVGn.DE,,MUV2.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:NAFG.DE,AURUBIS,NAFG.DE,,NDA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:NDXG.DE,NORDEX,NDXG.DE,,NDX1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:NEKG.DE,NEMETSCHEK,NEKG.DE,,NEM.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,PSHG_p.DE,,PAH3.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:PUMG.DE,PUMA,PUMG.DE,,PUM.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:RAAG.DE,RATIONAL,RAAG.DE,,RAA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:RHMG.DE,RHEINMETALL,RHMG.DE,,RHM.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:RWEG.DE,RWE,RWEG.DE,,RWE.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SAPG.DE,SAP,SAPG.DE,,SAP.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SATG_P.DE,SARTORIUS PREF.,SATG_p.DE,,SRT3.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SDFGN.DE,K + S,SDFGn.DE,,SDF.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SHLG.DE,SIEMENS HEALTHINEERS,SHLG.DE,,SHL.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SIEGN.DE,SIEMENS,SIEGn.DE,,SIE.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:SY1G.DE,SYMRISE,SY1G.DE,,SY1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:TEGG.DE,TAG IMMOBILIEN AG,TEGG.DE,,TEG.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:TKAG.DE,THYSSENKRUPP,TKAG.DE,,TKA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:TLXGN.DE,TALANX,TLXGn.DE,,TLX.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:TUI1N.DE,TUI,TUI1n.DE,,TUI1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:VNAN.DE,Vonovia SE,VNAn.DE,,VNA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
