WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XETR:MUVGN.DE,MUV2.DE,MUENCHENER RUECK,XETR,PREFERRED,113037742.6,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:NAFG.DE,NDA.DE,AURUBIS,XETR,STANDARD,17946362.6,Inhaber-Stammaktie / ordinary equity,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:NDXG.DE,NDX1.DE,NORDEX,XETR,STANDARD,16404468.32,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:RHMG.DE,RHM.DE,RHEINMETALL,XETR,PREFERRED,176371261.44,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:RWEG.DE,RWE.DE,RWE,XETR,PREFERRED,64966669.62,bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SAPG.DE,SAP.DE,SAP,XETR,PREFERRED,375525295.74,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SDFGN.DE,SDF.DE,K + S,XETR,STANDARD,19755528.34,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SHLG.DE,SHL.DE,SIEMENS HEALTHINEERS,XETR,PREFERRED,27655113.4,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SIEGN.DE,SIE.DE,SIEMENS,XETR,PREFERRED,219579802.36,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:SY1G.DE,SY1.DE,SYMRISE,XETR,PREFERRED,22052374.04,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TKAG.DE,TKA.DE,THYSSENKRUPP,XETR,PREFERRED,27440996.24,no-par-value bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TLXGN.DE,TLX.DE,TALANX,XETR,STANDARD,15797401.55,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:TUI1N.DE,TUI1.DE,TUI,XETR,STANDARD,19351195.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:VNAN.DE,VNA.DE,Vonovia SE,XETR,PREFERRED,45140495.63,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ZALG.DE,ZAL.DE,ZALANDO,XETR,PREFERRED,28815152.95,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XHEL:NDAFI.HE,NDA-FI.HE,NORDEA BANK,XHEL,PREFERRED,55219451.82,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:ADML.L,ADM.L,ADMIRAL GRP,XLON,PREFERRED,30491948.54,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:AUTOA.L,AUTO.L,AUTOTRADER GROUP,XLON,STANDARD,16025043.81,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:BEZG.L,BEZ.L,BEAZLEY,XLON,PREFERRED,31518005.02,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:BT.L,BT-A.L,BT GRP,XLON,PREFERRED,23273203.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
