WS_ID,Gap_Family,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Source_State,Source_Reason,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Static_Symbol_Relation,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Candidate_Override,Terminal_Blocked,Network_Required_For_Next_Step
WS:XETR:AMV0N.DE,MAPPING,EU_STOXX600,XETR,AMV0n.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AMV0n.DE,AMV0N.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:BASFN.DE,MAPPING,EU_STOXX600,XETR,BASFn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BASFn.DE,BASFN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:BAYGN.DE,MAPPING,EU_STOXX600,XETR,BAYGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BAYGn.DE,BAYGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:BC8G.DE,MAPPING,EU_STOXX600,XETR,BC8G.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BC8G.DE,BC8G.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:BEIG.DE,MAPPING,EU_STOXX600,XETR,BEIG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BEIG.DE,BEIG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:BMWG.DE,MAPPING,EU_STOXX600,XETR,BMWG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BMWG.DE,BMWG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:BNRGN.DE,MAPPING,EU_STOXX600,XETR,BNRGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BNRGn.DE,BNRGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:CBKG.DE,MAPPING,EU_STOXX600,XETR,CBKG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,CBKG.DE,CBKG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:CONG.DE,MAPPING,EU_STOXX600,XETR,CONG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,CONG.DE,CONG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:DB1GN.DE,MAPPING,EU_STOXX600,XETR,DB1Gn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,DB1Gn.DE,DB1GN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
