WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23
WS:XASX:CNU,Chorus,Australia,AU_ASX200,XASX,CNU,CNU.AX,READY,,OK,FAIL,FAIL_LT_5M,1921420.0995960492,1941841.9955308605,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:CQR,Charter Hall Retail REIT,Australia,AU_ASX200,XASX,CQR,CQR.AX,READY,,OK,FAIL,FAIL_LT_5M,3077453.522655583,3246912.184910583,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:DBI,Dalrymple Bay Infrastructure,Australia,AU_ASX200,XASX,DBI,DBI.AX,READY,,OK,FAIL,FAIL_LT_5M,3512199.3429763597,3518642.497143167,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:DOW,Downer Group,Australia,AU_ASX200,XASX,DOW,DOW.AX,READY,,OK,FAIL,FAIL_LT_5M,4246519.782625562,4398610.952508908,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:DRR,Deterra Royalties,Australia,AU_ASX200,XASX,DRR,DRR.AX,READY,,OK,FAIL,FAIL_LT_5M,3564754.7717480697,4437147.053828999,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:DYL,Deep Yellow,Australia,AU_ASX200,XASX,DYL,DYL.AX,READY,,OK,FAIL,FAIL_LT_5M,4201656.80258555,4301570.751945561,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:EBO,EBOS Group,Australia,AU_ASX200,XASX,EBO,EBO.AX,READY,,OK,FAIL,FAIL_LT_5M,1334887.1700620963,1027859.1529281129,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:EMR,Emerald Resources,Australia,AU_ASX200,XASX,EMR,EMR.AX,READY,,OK,FAIL,FAIL_LT_5M,4093063.813176575,4570713.899517945,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:EVT,EVT,Australia,AU_ASX200,XASX,EVT,EVT.AX,READY,,OK,FAIL,FAIL_LT_5M,1047107.0406956094,1202380.5039874925,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:FBU,Fletcher Building,Australia,AU_ASX200,XASX,FBU,FBU.AX,READY,,OK,FAIL,FAIL_LT_5M,1479272.9192370167,1436995.8596684486,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:FPH,Fisher & Paykel Healthcare,Australia,AU_ASX200,XASX,FPH,FPH.AX,READY,,OK,FAIL,FAIL_LT_5M,4993022.5796449315,6294310.116098721,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
