WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US4448591028:XNYS,US4448591028,XNYS,HUM,HUM,Humana,311536167.48,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4464131063:XNYS,US4464131063,XNYS,HII,HII,Huntington Ingalls Industries,103626047.32,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4592001014:XNYS,US4592001014,XNYS,IBM,IBM,IBM,926335032.52,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US45167R1041:XNYS,US45167R1041,XNYS,IEX,IEX,IDEX Corporation,101187441.05,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US45168D1046:XNAS,US45168D1046,XNAS,IDXX,IDXX,"IDEXX Laboratories, Inc.",241495372.01,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4523081093:XNYS,US4523081093,XNYS,ITW,ITW,Illinois Tool Works,224672379.96,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US45337C1027:XNAS,US45337C1027,XNAS,INCY,INCY,Incyte,127626691.85,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4581401001:XNAS,US4581401001,XNAS,INTC,INTC,Intel,7581187159.14,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US45841N1072:XNAS,US45841N1072,XNAS,IBKR,IBKR,Interactive Brokers LLC - ATS,284456131.58,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US45866F1049:XNYS,US45866F1049,XNYS,ICE,ICE,Intercontinental Exchange,433108940.3,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4595061015:XNYS,US4595061015,XNYS,IFF,IFF,International Flavors & Fragrances,105676801.39,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4601461035:XNYS,US4601461035,XNYS,IP,IP,International Paper,124603679.99,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4612021034:XNAS,US4612021034,XNAS,INTU,INTU,Intuit,1021769429.17,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US46120E6023:XNAS,US46120E6023,XNAS,ISRG,ISRG,Intuitive Surgical,657580382.34,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US46266C1053:XNYS,US46266C1053,XNYS,IQV,IQV,"IQVIA Holdings, Inc.",268063451.55,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4456581077:XNAS,US4456581077,XNAS,JBHT,JBHT,J. B. Hunt,178125119.48,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4663131039:XNYS,US4663131039,XNYS,JBL,JBL,Jabil,253732544.38,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4262811015:XNAS,US4262811015,XNAS,JKHY,JKHY,Jack Henry & Associates,124598864.04,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4781601046:XNYS,US4781601046,XNYS,JNJ,JNJ,Johnson & Johnson,1418025183.16,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US46625H1005:XNYS,US46625H1005,XNYS,JPM,JPM,JPMorgan Chase,1623934678.29,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US49177J1025:XNYS,US49177J1025,XNYS,KVUE,KVUE,Kenvue,314310947.21,CLASS_A_CANDIDATE_NOT_UNIVERSE
