WS_ID,Ticker,ISIN,MIC,Instrument,Membership,IVV_ISIN,Identity,History,Liquidity,Eligibility,Canonical,Integration_Class,HONA
US1:US22160K1051:XNAS,COST,US22160K1051,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US22160K1051,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US22788C1053:XNAS,CRWD,US22788C1053,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US22788C1053,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2310211063:XNYS,CMI,US2310211063,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2310211063,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1266501006:XNYS,CVS,US1266501006,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1266501006,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2358511028:XNYS,DHR,US2358511028,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2358511028,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2371941053:XNYS,DRI,US2371941053,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2371941053,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US23804L1035:XNAS,DDOG,US23804L1035,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US23804L1035,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US23918K1088:XNYS,DVA,US23918K1088,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US23918K1088,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2441991054:XNYS,DE,US2441991054,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2441991054,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2473617023:XNYS,DAL,US2473617023,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2473617023,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US25179M1036:XNYS,DVN,US25179M1036,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US25179M1036,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2521311074:XNAS,DXCM,US2521311074,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2521311074,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US25278X1090:XNAS,FANG,US25278X1090,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US25278X1090,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2566771059:XNYS,DG,US2566771059,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2566771059,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2567461080:XNAS,DLTR,US2567461080,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2567461080,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
