Security_Key,Source_WS_ID,Price_Cache_Status,Reason_Code,Unique_Bars,Valid_Bars,Strict_Invalid_Bars,Suspicious_Returns,Repaired_Rows,Zero_Volume_Share,First_Bar_Date,Last_Bar_Date,Currency_Binding,Provider_Symbol,Source
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2308.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,READY,,492,492,0,0,0,0.0040650406504065045,2024-09-16,2026-09-24,TWD,2317.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,READY,,492,492,0,0,0,0.016260162601626018,2024-09-16,2026-09-24,TWD,2327.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2330.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2344.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2345.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2357.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2360.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2368.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2382.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2383.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2395.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2408.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2412.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2449.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2454.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2603.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2880.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2881.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2882.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2883.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,READY,,492,492,0,0,0,0.0040650406504065045,2024-09-16,2026-09-24,TWD,2884.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2885.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2886.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2887.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2890.TW,YFINANCE_FREE_REFRESH_V0_45
