Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Data_Source,Source_Run_Provenance,Downloaded_In_v0_45
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,AXISBANK.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,NESTLEIND.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,BEL.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,TITAN.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,BAJFINANCE.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,BHARTIARTL.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,ADANIENT.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,APOLLOHOSP.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,TCS.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,ULTRACEMCO.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,COALINDIA.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,MARUTI,MARUTI.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,INDIGO,INDIGO.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,TECHM,TECHM.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,SHRIRAMFIN,SHRIRAMFIN.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,NTPC,NTPC.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,ADANIPORTS,ADANIPORTS.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,POWERGRID,POWERGRID.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,JIOFIN,JIOFIN.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,ETERNAL,ETERNAL.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,TRENT,TRENT.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,HCLTECH,HCLTECH.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,BAJAJ-AUTO,BAJAJ-AUTO.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,BAJAJFINSV.NS,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,3661.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,3665.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,4958.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,1216.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,1303.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,2059.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,2301.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,2303.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,2308.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,2317.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,2327.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,2330.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,2344.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,2345.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,2357.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,2360.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,2368.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,2382.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,2383.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,2395.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,2408.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,2412.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,2449.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,2454.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,2603.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,2880.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,2881.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
