WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XETR:LHAG.DE,LHA.DE,LUFTHANSA,XETR,EUR,1.0,20,33135719.5,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:MBGN.DE,MBG.DE,MERCEDES-BENZ GROUP,XETR,EUR,1.0,20,74436768.78,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:MTXGN.DE,MTX.DE,MTU AERO ENGINES,XETR,EUR,1.0,20,38259708.88,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:MUVGN.DE,MUV2.DE,MUENCHENER RUECK,XETR,EUR,1.0,20,113037742.6,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:NAFG.DE,NDA.DE,AURUBIS,XETR,EUR,1.0,20,17946362.6,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:NDXG.DE,NDX1.DE,NORDEX,XETR,EUR,1.0,20,16404468.32,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:NEKG.DE,NEM.DE,NEMETSCHEK,XETR,EUR,1.0,20,14452021.28,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:PSHG_P.DE,PAH3.DE,PORSCHE AUTOMOBIL HLDG PREF,XETR,EUR,1.0,20,16607848.4,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:PUMG.DE,PUM.DE,PUMA,XETR,EUR,1.0,20,11553975.96,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:RAAG.DE,RAA.DE,RATIONAL,XETR,EUR,1.0,20,6856677.25,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:RHMG.DE,RHM.DE,RHEINMETALL,XETR,EUR,1.0,20,176371261.44,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:RWEG.DE,RWE.DE,RWE,XETR,EUR,1.0,20,64966669.62,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:SAPG.DE,SAP.DE,SAP,XETR,EUR,1.0,20,375525295.74,PREFERRED,OK,IDENTITY,2026-09-03
