Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,raw_bar_count,valid_bar_count,invalid_bar_count,invalid_share,affected_dates,defect_reasons,stale_status,suspicious_return_count,suspicious_return_status,higher_priority_blocker_status,canonical_qa_status,canonical_qa_reason,filtered_policy_result,old_cache_state,old_reason,proposed_cache_state,proposed_reason,state_change_reason
49,WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,SBIN.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
50,WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,EICHERMOT.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
51,WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,TATASTEEL.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
52,WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,DRREDDY.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
53,WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,ICICIBANK.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
54,WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,M&M.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
55,WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,ITC.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
56,WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,TMPV.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
57,WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,ONGC.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
58,WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,KOTAKBANK.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
59,WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,AXISBANK.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
60,WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,NESTLEIND.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
61,WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,BEL.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
