WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XSHE:300033,"Hithink Royalflush Information Network Co.,Ltd.",,China,300033,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300033,300033.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600150,China CSSC Holdings Limited,,China,600150,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600150,600150.SS,DERIVED_RULE,READY,,485,485,0,0,0.0288659793814433,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:601211,"GUOTAI HAITONG SECURITIES CO., LTD.",,China,601211,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:601211,601211.SS,DERIVED_RULE,READY,,485,485,0,0,0.03917525773195876,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:301165,"Ruijie Networks Co., Ltd.",,China,301165,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:301165,301165.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:601006,Daqin Railway Co Ltd,,China,601006,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:601006,601006.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:300413,"Mango Excellent Media Co., Ltd.",,China,300413,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300413,300413.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600519,Kweichow Moutai Co Ltd,,China,600519,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600519,600519.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:601878,"ZHESHANG SECURITIES CO., LTD.",,China,601878,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:601878,601878.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600460,Hangzhou Silan Microelectronics Co Ltd,,China,600460,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600460,600460.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:300433,"Lens Technology Co., Ltd.",,China,300433,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300433,300433.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600066,Zhengzhou Yutong Bus Co Ltd,,China,600066,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600066,600066.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:000338,Wei Chai Power Co Ltd,,China,000338,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:000338,000338.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600031,Sany Heavy Industry Co Ltd,,China,600031,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600031,600031.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600016,China Minsheng Banking Corp Ltd,,China,600016,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600016,600016.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:000157,Zoomlion Heavy Industry Science & Technology Co Ltd,,China,000157,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:000157,000157.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:603259,"WuXi AppTec Co., Ltd.",,China,603259,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:603259,603259.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:601689,"Ningbo Tuopu Group Co., Ltd.",,China,601689,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:601689,601689.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:601816,"Beijing-Shanghai High Speed Railway Co.,Ltd",,China,601816,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:601816,601816.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600436,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,,China,600436,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600436,600436.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:300750,"Contemporary Amperex Technology Co., Limited.",,China,300750,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300750,300750.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHG:600115,"China Eastern Airlines Co., Ltd.",,China,600115,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600115,600115.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
