Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Identity_Gate_Status,Deterministic_WS_ID_Proven,Reason
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,MARUTI,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,INDIGO,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,TECHM,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,SHRIRAMFIN,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,NTPC,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,ADANIPORTS,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,POWERGRID,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,JIOFIN,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,ETERNAL,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,TRENT,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,HCLTECH,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,BAJAJ-AUTO,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
