WS_ID,Primary_MIC,Primary_Ticker,Source_Superset_Member,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_State,Scalable_Tradeability_Status,MedianTurnover20_EUR,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Source_AsOf,Price_AsOf,Provider,Eligibility_State_Materialized_v0_34,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:BVMF:KLBN11,BVMF,KLBN11,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:LREN3,BVMF,LREN3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,32615988.04,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MBRF3,BVMF,MBRF3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,16117762.16,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MDNE3,BVMF,MDNE3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,4113451.43,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MGLU3,BVMF,MGLU3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,16519986.88,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MOTV3,BVMF,MOTV3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,21279021.83,749,747,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MOVI3,BVMF,MOVI3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,5281117.81,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MRVE3,BVMF,MRVE3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,9746465.04,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:MULT3,BVMF,MULT3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,16150529.18,749,749,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:NATU3,BVMF,NATU3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,5850621.54,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ORVR3,BVMF,ORVR3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,7123200.57,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:PETR3,BVMF,PETR3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,76616225.47,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:PETR4,BVMF,PETR4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:POMO4,BVMF,POMO4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:PRIO3,BVMF,PRIO3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,66136314.77,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:PSSA3,BVMF,PSSA3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,12065270.48,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:RADL3,BVMF,RADL3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,30899869.56,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:RAIL3,BVMF,RAIL3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,27590923.51,749,749,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:RAPT4,BVMF,RAPT4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:RDOR3,BVMF,RDOR3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,38028058.32,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:RECV3,BVMF,RECV3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,3050330.48,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:RENT3,BVMF,RENT3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,55608570.36,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SANB11,BVMF,SANB11,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:SAPR11,BVMF,SAPR11,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:SAUD3,BVMF,SAUD3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,9232631.87,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SBSP3,BVMF,SBSP3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,66162821.44,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SIMH3,BVMF,SIMH3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,2666446.16,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SLCE3,BVMF,SLCE3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,5553289.79,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SMFT3,BVMF,SMFT3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,23118177.26,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SMTO3,BVMF,SMTO3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,4949556.98,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:SUZB3,BVMF,SUZB3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,54280412.07,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
