Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Evidence_Cohort,Market_AsOf_Date,Last_Completed_Session,Fetch_Timestamp,Market_Status,Price_Cache_Status,History_Row_Count,Valid_Completed_Bars,QA_Status,Blocking_Reason,Data_Source,Source_Run_Provenance
WSSEC:WS:XNAS:MSFT,WS:XNAS:MSFT,XNAS,MSFT,MSFT,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MTSI,WS:XNAS:MTSI,XNAS,MTSI,MTSI,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MU,WS:XNAS:MU,XNAS,MU,MU,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MZTI,WS:XNAS:MZTI,XNAS,MZTI,MZTI,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:NBIX,WS:XNAS:NBIX,XNAS,NBIX,NBIX,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:NDAQ,WS:XNAS:NDAQ,XNAS,NDAQ,NDAQ,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:NDSN,WS:XNAS:NDSN,XNAS,NDSN,NDSN,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:NFLX,WS:XNAS:NFLX,XNAS,NFLX,NFLX,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:NOVT,WS:XNAS:NOVT,XNAS,NOVT,NOVT,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:NTNX,WS:XNAS:NTNX,XNAS,NTNX,NTNX,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
