WS_ID,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Instrument_Gate_State,Mapping_Baseline_State,History_Evidence_State,Liquidity_Evidence_State,Scalable_Tradeability_Status,Refresh_Required,Refresh_Priority,Refresh_Action,Refresh_Prerequisite,Planned_Provider,Provider_Symbol_Current,Network_Required_In_Execution_Stage,Expected_Output,Reason
WS:ISIN:INE467B01029,IN_NIFTY50,XNSE,TCS,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,TCS,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE481G01011,IN_NIFTY50,XNSE,ULTRACEMCO,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ULTRACEMCO,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE522F01014,IN_NIFTY50,XNSE,COALINDIA,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,COALINDIA,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE585B01010,IN_NIFTY50,XNSE,MARUTI,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,MARUTI,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE646L01027,IN_NIFTY50,XNSE,INDIGO,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,INDIGO,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE669C01036,IN_NIFTY50,XNSE,TECHM,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,TECHM,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE721A01047,IN_NIFTY50,XNSE,SHRIRAMFIN,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,SHRIRAMFIN,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE733E01010,IN_NIFTY50,XNSE,NTPC,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,NTPC,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE742F01042,IN_NIFTY50,XNSE,ADANIPORTS,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ADANIPORTS,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE752E01010,IN_NIFTY50,XNSE,POWERGRID,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,POWERGRID,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
