ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
US83443Q1031,XNAS,SOLS,WS:XNAS:SOLS,NEW
US10950A1060,XNAS,BTSG,WS:XNAS:BTSG,NEW
US78473E1038,XNYS,SPXC,WS:XNYS:SPXC,NEW
US6708371033,XNYS,OGE,WS:XNYS:OGE,NEW
US0082521081,XNYS,AMG,WS:XNYS:AMG,NEW
US00790R1041,XNYS,WMS,WS:XNYS:WMS,NEW
US7835491082,XNYS,R,WS:XNYS:R,NEW
US6802231042,XNYS,ORI,WS:XNYS:ORI,NEW
US9290891004,XNYS,VOYA,WS:XNYS:VOYA,NEW
US88162G1031,XNAS,TTEK,WS:XNAS:TTEK,NEW
US74164M1080,XNYS,PRI,WS:XNYS:PRI,NEW
US78709Y1055,XNAS,SAIA,WS:XNAS:SAIA,NEW
US9202531011,XNYS,VMI,WS:XNYS:VMI,NEW
US2533931026,XNYS,DKS,WS:XNYS:DKS,NEW
US7509171069,XNAS,RMBS,WS:XNAS:RMBS,NEW
US50077B2079,XNAS,KTOS,WS:XNAS:KTOS,NEW
US7599161095,XNAS,RGEN,WS:XNAS:RGEN,NEW
US8910921084,XNYS,TTC,WS:XNYS:TTC,NEW
US6800331075,XNAS,ONB,WS:XNAS:ONB,NEW
US0995021062,XNYS,BAH,WS:XNYS:BAH,NEW
US25402D1028,XNYS,DOCN,WS:XNYS:DOCN,NEW
US2674751019,XNYS,DY,WS:XNYS:DY,NEW
US47233W1099,XNYS,JEF,WS:XNYS:JEF,NEW
US3795772082,XNYS,GMED,WS:XNYS:GMED,NEW
US1972361026,XNAS,COLB,WS:XNAS:COLB,NEW
US6267551025,XNYS,MUSA,WS:XNYS:MUSA,NEW
US64361Q1013,XNAS,VNOM,WS:XNAS:VNOM,NEW
US45867G1013,XNAS,IDCC,WS:XNAS:IDCC,NEW
US5367971034,XNYS,LAD,WS:XNYS:LAD,NEW
US33768G1076,XNAS,FCFS,WS:XNAS:FCFS,NEW
US0528001094,XNYS,ALV,WS:XNYS:ALV,NEW
US00766T1007,XNYS,ACM,WS:XNYS:ACM,NEW
US02376R1023,XNAS,AAL,WS:XNAS:AAL,NEW
US7436061052,XNYS,PB,WS:XNYS:PB,NEW
US5653941030,XNAS,CART,WS:XNAS:CART,NEW
US21871X1090,XNYS,CRBG,WS:XNYS:CRBG,NEW
US49714P1084,XNYS,KNSL,WS:XNYS:KNSL,NEW
US42226A1079,XNAS,HQY,WS:XNAS:HQY,NEW
US6742152076,XNAS,CHRD,WS:XNAS:CHRD,NEW
US9576381092,XNYS,WAL,WS:XNYS:WAL,NEW
US21874C1027,XNYS,CNM,WS:XNYS:CNM,NEW
US0383361039,XNYS,ATR,WS:XNYS:ATR,NEW
US4108671052,XNYS,THG,WS:XNYS:THG,NEW
US9026811052,XNYS,UGI,WS:XNYS:UGI,NEW
US3434121022,XNYS,FLR,WS:XNYS:FLR,NEW
US6361801011,XNYS,NFG,WS:XNYS:NFG,NEW
US36467W1099,XNYS,GME,WS:XNYS:GME,NEW
US2005251036,XNAS,CBSH,WS:XNAS:CBSH,NEW
US9255501051,XNAS,VIAV,WS:XNAS:VIAV,NEW
US31847R1023,XNYS,FAF,WS:XNYS:FAF,NEW
US90364P1057,XNYS,PATH,WS:XNYS:PATH,NEW
US62955J1034,XNYS,NOV,WS:XNYS:NOV,NEW
BMG0750C1082,XNYS,AXTA,WS:XNYS:AXTA,NEW
US4972661064,XNYS,KEX,WS:XNYS:KEX,NEW
US8873891043,XNYS,TKR,WS:XNYS:TKR,NEW
US2017231034,XNYS,CMC,WS:XNYS:CMC,NEW
US0010841023,XNYS,AGCO,WS:XNYS:AGCO,NEW
US4511071064,XNYS,IDA,WS:XNYS:IDA,NEW
US03676B1026,XNYS,AM,WS:XNYS:AM,NEW
US0538071038,XNAS,AVT,WS:XNAS:AVT,NEW
