WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion,Remediation_Action,Automatic_Override_Created
WS:XDUB:KYGA.I,EU_STOXX600,XDUB,KYGa.I,EUR,MAPPING_PRESENT_NOT_REVALIDATED,KYGa.I,KYGA.IR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:ADSGN.DE,EU_STOXX600,XETR,ADSGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ADSGn.DE,ADSGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:AG1G.DE,EU_STOXX600,XETR,AG1G.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AG1G.DE,AG1G.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:AIXGN.DE,EU_STOXX600,XETR,AIXGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AIXGn.DE,AIXGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:ALVG.DE,EU_STOXX600,XETR,ALVG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ALVG.DE,ALVG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:AMV0N.DE,EU_STOXX600,XETR,AMV0n.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AMV0n.DE,AMV0N.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:BASFN.DE,EU_STOXX600,XETR,BASFn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BASFn.DE,BASFN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:BAYGN.DE,EU_STOXX600,XETR,BAYGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BAYGn.DE,BAYGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:BC8G.DE,EU_STOXX600,XETR,BC8G.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BC8G.DE,BC8G.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:BEIG.DE,EU_STOXX600,XETR,BEIG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BEIG.DE,BEIG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
