WS_ID,Primary_MIC,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Liquidity_Last_Session,Usable_Sessions20,FX_Coverage20,MedianTurnover20_EUR,Liquidity_Current_State,Liquidity_Current_Gate,Prior_Liquidity_State,FX_Status,Evidence_AsOf
WS:XAMS:HEIN.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:HEIO.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:IMCD.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:INGA.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:INPST.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:KPN.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:LIGHT.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:MICCT.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:MT.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:NN.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:PHG.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:PRX.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:RAND.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:SBMO.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:SHEL.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:UMG.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
