WS_ID,Session_Date,Raw_Close,Raw_Volume,Quote_Scale_To_Major_Currency,Currency_Normalized,Turnover_Native_Major,FX_to_EUR,FX_Source_Symbol,FX_Date_Used,FX_Lag_Days,Turnover_EUR,Usable_For_Median20
WS:XSHE:002475,2026-08-07,56.9900016784668,162640580.0,1.0,CNY,9268886927.186813,0.12857599556446075,,2026-08-07,0,1191756364.43746,True
WS:XSHE:002475,2026-08-10,55.790000915527344,120765115.0,1.0,CNY,6737485876.413765,0.12824200093746185,,2026-08-10,0,864028670.07919,True
WS:XSHE:002475,2026-08-11,55.630001068115234,84667668.0,1.0,CNY,4710062461.274826,0.12835000455379486,,2026-08-11,0,604536538.3532822,True
WS:XSHE:002475,2026-08-12,57.349998474121094,112636537.0,1.0,CNY,6459705225.080284,0.1284099966287613,,2026-08-12,0,829490726.175351,True
WS:XSHE:002475,2026-08-13,56.060001373291016,108246912.0,1.0,CNY,6068322035.374512,0.12862099707126617,,2026-08-13,0,780513630.739405,True
WS:XSHE:002475,2026-08-14,56.58000183105469,71704482.0,1.0,CNY,4057039722.854828,0.12856599688529968,,2026-08-14,0,521597356.3720909,True
WS:XSHE:002475,2026-08-17,58.84000015258789,126579037.0,1.0,CNY,7447910556.394428,0.1281290054321289,,2026-08-17,0,954293372.1382719,True
WS:XSHE:002475,2026-08-18,57.7400016784668,93933424.0,1.0,CNY,5423716059.424133,0.12807400524616241,,2026-08-18,0,694637039.0483818,True
WS:XSHE:002475,2026-08-19,53.5,158335376.0,1.0,CNY,8470942616.0,0.1280840039253235,,2026-08-19,0,1084992247.278934,True
WS:XSHE:002475,2026-08-20,53.34000015258789,88938935.0,1.0,CNY,4744002806.4710045,0.12728799879550934,,2026-08-20,0,603854623.5159742,True
WS:XSHE:002475,2026-08-21,54.650001525878906,98812265.0,1.0,CNY,5400090433.025551,0.12724700570106506,,2026-08-21,0,687145338.1174692,True
WS:XSHE:002475,2026-08-24,53.720001220703125,90877537.0,1.0,CNY,4881941398.574493,0.12736399471759796,,2026-08-24,0,621783558.4996645,True
WS:XSHE:002475,2026-08-25,54.86000061035156,133650139.0,1.0,CNY,7332046707.113571,0.127469003200531,,2026-08-25,0,934608685.1755027,True
WS:XSHE:002475,2026-08-26,57.11000061035156,155212974.0,1.0,CNY,8864213039.874481,0.12745800614356995,,2026-08-26,0,1129814920.0942345,True
WS:XSHE:002475,2026-08-27,57.18000030517578,111096178.0,1.0,CNY,6352479491.943863,0.12762199342250824,,2026-08-27,0,810716095.9374782,True
WS:XSHE:002475,2026-08-28,56.599998474121094,108503490.0,1.0,CNY,6141297368.436813,0.12763899564743042,,2026-08-28,0,783869028.0794823,True
WS:XSHE:002475,2026-08-31,57.619998931884766,94622210.0,1.0,CNY,5452131639.132576,0.12825900316238403,,2026-08-31,0,699284969.1452391,True
WS:XSHE:002493,2026-08-04,12.050000190734863,46496933.0,1.0,CNY,560288051.5185862,0.12868499755859375,,2026-08-04,0,72100666.5417785,True
WS:XSHE:002493,2026-08-05,12.390000343322754,54532505.0,1.0,CNY,675657755.6722498,0.1283939927816391,,2026-08-05,0,86750397.00464131,True
WS:XSHE:002493,2026-08-06,13.140000343322754,91030780.0,1.0,CNY,1196144480.452938,0.1281840056180954,,2026-08-06,0,153326590.80243322,True
WS:XSHE:002493,2026-08-07,13.229999542236328,67007543.0,1.0,CNY,886509763.2163811,0.12857599556446075,,2026-08-07,0,113983875.38316056,True
WS:XSHE:002493,2026-08-10,13.520000457763672,57656148.0,1.0,CNY,779511147.35289,0.12824200093746185,,2026-08-10,0,99966069.28959128,True
WS:XSHE:002493,2026-08-11,13.039999961853027,48211194.0,1.0,CNY,628673967.9208889,0.12835000455379486,,2026-08-11,0,80690306.64549838,True
WS:XSHE:002493,2026-08-12,13.0600004196167,37058699.0,1.0,CNY,483986624.49044895,0.1284099966287613,,2026-08-12,0,62148720.81918411,True
WS:XSHE:002493,2026-08-13,12.699999809265137,39073843.0,1.0,CNY,496237798.6472559,0.12862099707126617,,2026-08-13,0,63826600.44646028,True
WS:XSHE:002493,2026-08-14,12.59000015258789,43252184.0,1.0,CNY,544545003.1597595,0.12856599688529968,,2026-08-14,0,70009971.18014315,True
WS:XSHE:002493,2026-08-17,12.770000457763672,53044896.0,1.0,CNY,677383346.2020264,0.1281290054321289,,2026-08-17,0,86792454.44515309,True
WS:XSHE:002493,2026-08-18,12.869999885559082,51904311.0,1.0,CNY,668008476.630023,0.12807400524616241,,2026-08-18,0,85554521.14039452,True
WS:XSHE:002493,2026-08-19,13.40999984741211,91286031.0,1.0,CNY,1224145661.780857,0.1280840039253235,,2026-08-19,0,156793477.74870703,True
WS:XSHE:002493,2026-08-20,13.529999732971191,63341235.0,1.0,CNY,857006892.6360655,0.12728799879550934,,2026-08-20,0,109086692.31760271,True
WS:XSHE:002493,2026-08-21,13.760000228881836,49956017.0,1.0,CNY,687394805.3540249,0.12724700570106506,,2026-08-21,0,87468930.71576612,True
WS:XSHE:002493,2026-08-24,13.649999618530273,47567311.0,1.0,CNY,649293777.0045109,0.12736399471759796,,2026-08-24,0,82696649.18457176,True
WS:XSHE:002493,2026-08-25,13.220000267028809,43412090.0,1.0,CNY,573907841.3922787,0.127469003200531,,2026-08-25,0,73155460.4712422,True
WS:XSHE:002493,2026-08-26,13.760000228881836,56233725.0,1.0,CNY,773776068.8708782,0.12745800614356995,,2026-08-26,0,98623954.9398918,True
WS:XSHE:002493,2026-08-27,14.369999885559082,59044661.0,1.0,CNY,848471771.8128748,0.12762199342250824,,2026-08-27,0,108283658.88148662,True
WS:XSHE:002493,2026-08-28,14.550000190734863,51017560.0,1.0,CNY,742305507.7308273,0.12763899564743042,,2026-08-28,0,94747129.4703187,True
WS:XSHE:002493,2026-08-31,14.84000015258789,75159139.0,1.0,CNY,1115361634.2283745,0.12825900316238403,,2026-08-31,0,143055171.37169892,True
WS:XSHE:002532,2026-08-04,13.15999984741211,91040598.0,1.0,CNY,1198094255.7883072,0.12868499755859375,,2026-08-04,0,154176756.38108352,True
WS:XSHE:002532,2026-08-05,13.460000038146973,97326409.0,1.0,CNY,1310013468.8527079,0.1283939927816391,,2026-08-05,0,168197859.86372456,True
WS:XSHE:002532,2026-08-06,13.399999618530273,116155403.0,1.0,CNY,1556482355.8902302,0.1281840056180954,,2026-08-06,0,199516143.0518996,True
WS:XSHE:002532,2026-08-07,13.550000190734863,75719069.0,1.0,CNY,1025993399.3922663,0.12857599556446075,,2026-08-07,0,131918122.76942603,True
WS:XSHE:002532,2026-08-10,13.9399995803833,94838363.0,1.0,CNY,1322046740.4242392,0.12824200093746185,,2026-08-10,0,169541919.32485366,True
WS:XSHE:002532,2026-08-11,13.800000190734863,133312838.0,1.0,CNY,1839717189.827406,0.12835000455379486,,2026-08-11,0,236127709.69204223,True
WS:XSHE:002532,2026-08-12,14.270000457763672,138662002.0,1.0,CNY,1978706832.0144272,0.1284099966287613,,2026-08-12,0,254085737.62827954,True
WS:XSHE:002532,2026-08-13,13.1899995803833,159339711.0,1.0,CNY,2101690721.2283964,0.12862099707126617,,2026-08-13,0,270321556.09982485,True
WS:XSHE:002532,2026-08-14,13.130000114440918,74899626.0,1.0,CNY,983432097.951582,0.12856599688529968,,2026-08-14,0,126435928.04214682,True
WS:XSHE:002532,2026-08-17,13.550000190734863,96783526.0,1.0,CNY,1311416795.7599926,0.1281290054321289,,2026-08-17,0,168030529.74771717,True
WS:XSHE:002532,2026-08-18,13.279999732971191,87737213.0,1.0,CNY,1165150165.2116365,0.12807400524616241,,2026-08-18,0,149225448.37188214,True
WS:XSHE:002532,2026-08-19,12.760000228881836,67058157.0,1.0,CNY,855662098.6683941,0.1280840039253235,,2026-08-19,0,109596627.60459313,True
WS:XSHE:002532,2026-08-20,12.399999618530273,90361769.0,1.0,CNY,1120485901.1297207,0.12728799879550934,,2026-08-20,0,142624408.03338507,True
WS:XSHE:002532,2026-08-21,12.670000076293945,82393641.0,1.0,CNY,1043927437.756136,0.12724700570106506,,2026-08-21,0,132836640.62365328,True
WS:XSHE:002532,2026-08-24,12.699999809265137,65995407.0,1.0,CNY,838141656.3123751,0.12736399471759796,,2026-08-24,0,106749069.48716815,True
WS:XSHE:002532,2026-08-25,12.569999694824219,59019120.0,1.0,CNY,741870320.388794,0.127469003200531,,2026-08-25,0,94565470.24401814,True
WS:XSHE:002532,2026-08-26,12.800000190734863,75481656.0,1.0,CNY,966165211.1969833,0.12745800614356995,,2026-08-26,0,123145491.42444865,True
