WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:INE733E01010,IN_NIFTY50,XNSE,NTPC,INR,MAPPING_PRESENT_NOT_REVALIDATED,NTPC,NTPC.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE742F01042,IN_NIFTY50,XNSE,ADANIPORTS,INR,MAPPING_PRESENT_NOT_REVALIDATED,ADANIPORTS,ADANIPORTS.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE752E01010,IN_NIFTY50,XNSE,POWERGRID,INR,MAPPING_PRESENT_NOT_REVALIDATED,POWERGRID,POWERGRID.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE758E01017,IN_NIFTY50,XNSE,JIOFIN,INR,MAPPING_PRESENT_NOT_REVALIDATED,JIOFIN,JIOFIN.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE758T01015,IN_NIFTY50,XNSE,ETERNAL,INR,MAPPING_PRESENT_NOT_REVALIDATED,ETERNAL,ETERNAL.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE795G01014,IN_NIFTY50,XNSE,HDFCLIFE,INR,MAPPING_PRESENT_NOT_REVALIDATED,HDFCLIFE,HDFCLIFE.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE849A01020,IN_NIFTY50,XNSE,TRENT,INR,MAPPING_PRESENT_NOT_REVALIDATED,TRENT,TRENT.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE860A01027,IN_NIFTY50,XNSE,HCLTECH,INR,MAPPING_PRESENT_NOT_REVALIDATED,HCLTECH,HCLTECH.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE917I01010,IN_NIFTY50,XNSE,BAJAJ-AUTO,INR,MAPPING_PRESENT_NOT_REVALIDATED,BAJAJ-AUTO,BAJAJ-AUTO.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE918I01026,IN_NIFTY50,XNSE,BAJAJFINSV,INR,MAPPING_PRESENT_NOT_REVALIDATED,BAJAJFINSV,BAJAJFINSV.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
