Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Source_ID,Instrument_Type,History_State,History_Observation_Count,History_Valid_Observation_Count,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Eligibility_DryRun,Stage_U_Status
333,WSSEC:WS:XNAS:NDSN,WS:XNAS:NDSN,XNAS,NDSN,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,103449148.3,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
334,WSSEC:WS:XNAS:NFLX,WS:XNAS:NFLX,XNAS,NFLX,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,1837053495.97,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
335,WSSEC:WS:XNAS:NOVT,WS:XNAS:NOVT,XNAS,NOVT,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,38012705.983781,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
336,WSSEC:WS:XNAS:NTNX,WS:XNAS:NTNX,XNAS,NTNX,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,141721392.914522,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
337,WSSEC:WS:XNAS:NTRS,WS:XNAS:NTRS,XNAS,NTRS,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,146968460.24,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
338,WSSEC:WS:XNAS:NVDA,WS:XNAS:NVDA,XNAS,NVDA,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,21462751979.38,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
339,WSSEC:WS:XNAS:NWE,WS:XNAS:NWE,XNAS,NWE,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,23212818.688909,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
340,WSSEC:WS:XNAS:NXST,WS:XNAS:NXST,XNAS,NXST,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,48905365.799625,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
341,WSSEC:WS:XNAS:NXT,WS:XNAS:NXT,XNAS,NXT,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,135131977.470496,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
342,WSSEC:WS:XNAS:ODFL,WS:XNAS:ODFL,XNAS,ODFL,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,256251764.42,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
