WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,HKEX_Stock Code,HKEX_Name of Securities,HKEX_Category,HKEX_Sub-Category,HKEX_Board Lot,HKEX_ISIN,HKEX_Expiry Date,HKEX_Subject to Stamp Duty,HKEX_Shortsell Eligible,HKEX_CAS Eligible,HKEX_VCM Eligible,HKEX_Admitted to CCASS,HKEX_Debt Securities Board Lot (Nominal),HKEX_Debt Securities Investor Type,HKEX_POS Eligible,"HKEX_Spread Table
1 = Part A
3 = Part B
5 = Part D
4 & 6 = Part E",HKEX_Trading Currency,HKEX_RMB Counter,HKEX_Match_Key,HKEX_Match_Status
WS:XHKG:3,HK & CHINA GAS,HK_HSI,XHKG,3,0003.HK,00003,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000",HK0003000038,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00003,MATCHED
WS:XHKG:300,MIDEA GROUP,HK_HSI,XHKG,300,0300.HK,00300,MIDEA GROUP,Equity,Equity Securities (Main Board),100,CNE100006M58,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00300,MATCHED
WS:XHKG:316,OOIL,HK_HSI,XHKG,316,0316.HK,00316,OOIL,Equity,Equity Securities (Main Board),500,BMG677491539,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00316,MATCHED
WS:XHKG:322,TINGYI,HK_HSI,XHKG,322,0322.HK,00322,TINGYI,Equity,Equity Securities (Main Board),"2,000",KYG8878S1030,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00322,MATCHED
WS:XHKG:3690,MEITUAN - W,HK_HSI,XHKG,3690,3690.HK,03690,MEITUAN-W,Equity,Equity Securities (Main Board),100,KYG596691041,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,83690,03690,MATCHED
WS:XHKG:3692,HANSOH PHARMA,HK_HSI,XHKG,3692,3692.HK,03692,HANSOH PHARMA,Equity,Equity Securities (Main Board),"2,000",KYG549581067,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,03692,MATCHED
WS:XHKG:3750,CATL,HK_HSI,XHKG,3750,3750.HK,03750,CATL,Equity,Equity Securities (Main Board),100,CNE100006WS8,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,03750,MATCHED
WS:XHKG:386,SINOPEC CORP,HK_HSI,XHKG,386,0386.HK,00386,SINOPEC CORP,Equity,Equity Securities (Main Board),"2,000",CNE1000002Q2,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00386,MATCHED
WS:XHKG:388,HKEX,HK_HSI,XHKG,388,0388.HK,00388,HKEX,Equity,Equity Securities (Main Board),100,HK0388045442,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80388,00388,MATCHED
WS:XHKG:3968,CM BANK,HK_HSI,XHKG,3968,3968.HK,03968,CM BANK,Equity,Equity Securities (Main Board),500,CNE1000002M1,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,03968,MATCHED
WS:XHKG:3988,BANK OF CHINA,HK_HSI,XHKG,3988,3988.HK,03988,BANK OF CHINA,Equity,Equity Securities (Main Board),"1,000",CNE1000001Z5,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,03988,MATCHED
WS:XHKG:3993,CMOC,HK_HSI,XHKG,3993,3993.HK,03993,CMOC,Equity,Equity Securities (Main Board),"3,000",CNE100000114,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,03993,MATCHED
WS:XHKG:5,HSBC HOLDINGS,HK_HSI,XHKG,5,0005.HK,00005,HSBC HOLDINGS,Equity,Equity Securities (Main Board),400,GB0005405286,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00005,MATCHED
WS:XHKG:6,POWER ASSETS,HK_HSI,XHKG,6,0006.HK,00006,POWER ASSETS,Equity,Equity Securities (Main Board),500,HK0006000050,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00006,MATCHED
WS:XHKG:6160,BEONE MEDICINES,HK_HSI,XHKG,6160,6160.HK,06160,BEONE MEDICINES,Equity,Equity Securities (Main Board),100,CH1391448177,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,06160,MATCHED
WS:XHKG:6181,LAOPU GOLD,HK_HSI,XHKG,6181,6181.HK,06181,LAOPU GOLD,Equity,Equity Securities (Main Board),100,CNE100006JG0,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,06181,MATCHED
