WS_ID,Primary_Universe_Index,Name,Yahoo_Symbol,Country,Lineage_Class_v0_22,In_Active_Source_v0_22,In_Full_Eligibility_v0_14,In_Strict_v0_14,In_Unresolved_Queue_v0_15,In_Research_Partial_v0_16
WS:XASX:NXT,AU_ASX200,NextDC,NXT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:OBM,AU_ASX200,Ora Banda Mining,OBM.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ORA,AU_ASX200,Orora,ORA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ORG,AU_ASX200,Origin Energy,ORG.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:ORI,AU_ASX200,Orica,ORI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PDI,AU_ASX200,Predictive Discovery,PDI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PDN,AU_ASX200,Paladin Energy,PDN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PLS,AU_ASX200,PLS Group,PLS.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:PME,AU_ASX200,Pro Medicus,PME.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:PMV,AU_ASX200,Premier Investments,PMV.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PNI,AU_ASX200,Pinnacle Investment Management,PNI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PPT,AU_ASX200,Perpetual,PPT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PRN,AU_ASX200,Perenti,PRN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PRU,AU_ASX200,Perseus Mining,PRU.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:PXA,AU_ASX200,Pexa Group,PXA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:QAN,AU_ASX200,Qantas,QAN.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:QBE,AU_ASX200,QBE Insurance,QBE.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:QUB,AU_ASX200,Qube Holdings,QUB.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RDX,AU_ASX200,Redox,RDX.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:REA,AU_ASX200,REA Group,REA.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:REG,AU_ASX200,Regis Healthcare,REG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:REH,AU_ASX200,Reece Group,REH.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RGN,AU_ASX200,Region Group,RGN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RHC,AU_ASX200,Ramsay Health Care,RHC.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:RIO,AU_ASX200,Rio Tinto,RIO.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:RMD,AU_ASX200,ResMed,RMD.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RMS,AU_ASX200,Ramelius Resources,RMS.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RRL,AU_ASX200,Regis Resources,RRL.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RSG,AU_ASX200,Resolute Mining,RSG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RWC,AU_ASX200,Reliance Worldwide Corporation,RWC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:RYM,AU_ASX200,Ryman Healthcare,RYM.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
