ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XPAR:ACCP.PA,ACCP.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:AIRP.PA,AIRP.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:ALSO.PA,ALSO.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:AXAF.PA,AXAF.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:BIOX.PA,BIOX.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:BNPP.PA,BNPP.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:BOLL.PA,BOLL.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:BOUY.PA,BOUY.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:CAGR.PA,CAGR.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XPAR:CAPP.PA,CAPP.PA,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
