ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XETR:CBKG.DE,CBKG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:CONG.DE,CONG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:EVDG.DE,EVDG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:FMEG.DE,FMEG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:FRAG.DE,FRAG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:FREG.DE,FREG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:G1AG.DE,G1AG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:GBFG.DE,GBFG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:HAGG.DE,HAGG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:HEIG.DE,HEIG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:HOTG.DE,HOTG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:LHAG.DE,LHAG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:NAFG.DE,NAFG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:NDXG.DE,NDXG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:NEKG.DE,NEKG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:PUMG.DE,PUMG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
