WS_ID,Gap_Family,Diagnostic_Classification,Provider_Symbol,Request_Mode,Repair_Pass,Primary_MIC,Primary_Ticker,Primary_Currency,Name,Country,Primary_Universe_Index,Yahoo_Mapping_Status,Pre_Status,Pre_Reason,Pre_Price_Rows,Post_Status,Post_Reason,Post_Price_Rows,Post_Unique_Bars,Post_Valid_Bars,Post_Repaired_Rows,Post_Suspicious_Returns,Post_First_Day,Post_Last_Day,Provider_Data_Returned,Controlled_Result,Eligibility_Promoted,Universe_Mutated,Mapping_Override_Created
WS:XLON:BBOXT.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BBOXT.L,NORMAL_FIXED_WINDOW,False,XLON,BBOXT.L,GBP,TRITAX BIG BOX REIT,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:BEZG.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BEZG.L,NORMAL_FIXED_WINDOW,False,XLON,BEZG.L,GBP,BEAZLEY,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:BKGH.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BKGH.L,NORMAL_FIXED_WINDOW,False,XLON,BKGH.L,GBP,BERKELEY GRP HLDG,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:BPTB.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BPTB.L,NORMAL_FIXED_WINDOW,False,XLON,BPTB.L,GBP,BRIDGEPOINT GROUP,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:BT.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BT.L,NORMAL_FIXED_WINDOW,False,XLON,BT.L,GBP,BT GRP,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:HOCM.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,HOCM.L,NORMAL_FIXED_WINDOW,False,XLON,HOCM.L,GBP,HOCHSCHILD MINING,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:ICAG.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ICAG.L,NORMAL_FIXED_WINDOW,False,XLON,ICAG.L,GBP,IAG,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:ICGIN.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ICGIN.L,NORMAL_FIXED_WINDOW,False,XLON,ICGIN.L,GBP,ICG,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:MRON.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,MRON.L,NORMAL_FIXED_WINDOW,False,XLON,MRON.L,GBP,MELROSE INDUSTRIES,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:PAFR.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,PAFR.L,NORMAL_FIXED_WINDOW,False,XLON,PAFR.L,GBP,PAN AFRICAN RESOURCES,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
