WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Yahoo_Symbol,Original_Status,Original_Reason,Unique_Bars,Valid_Bars,First_Bar_Date,Last_Bar_Date,Last_Bar_Age_Days,Cached_Price_Rows,Invalid_Cached_Bars,Suspicious_Return_Events_Recomputed,Diagnostic_Classification,Recommended_Action,Exact_Equity_Search_Hit,Search_Result_Name,Search_Result_Exchange,Search_Errors
WS:US:VGNT,Versigent PLC,,US_SP1500,,VGNT,WARMUP,INSUFFICIENT_HISTORY,102,102,2026-03-27,2026-08-21,3.0,102,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:US:VIR,"Vir Biotechnology, Inc.",,US_SP1500,,VIR,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:VRRM,Verra Mobility Corporation,,US_SP1500,,VRRM,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:VSNT,"Versant Media Group, Inc.",,US_SP1500,,VSNT,WARMUP,INSUFFICIENT_HISTORY,172,172,2025-12-15,2026-08-21,3.0,172,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NEPI Rockcastle,South Africa,ZA_TOP40,XJSE,NRP.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,499,2024-08-21,2026-08-21,3.0,501,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,South Africa,ZA_TOP40,XJSE,ANH.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,499,2024-08-21,2026-08-21,3.0,501,2,2,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,South Africa,ZA_TOP40,XJSE,SLM.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,499,2024-08-21,2026-08-21,3.0,501,2,2,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,South Africa,ZA_TOP40,XJSE,SOLBE1.JO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-21,2026-08-21,3.0,501,0,9,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,South Africa,ZA_TOP40,XJSE,VOD.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,499,2024-08-21,2026-08-21,3.0,501,2,2,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:SRC:ZA_TOP40:670585B513E60D68,Woolworths Holdings,South Africa,ZA_TOP40,XJSE,WHL.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,2024-08-21,2026-08-21,3.0,501,3,0,INVALID_BAR_QUARANTINE_REVIEW,KEEP_QUARANTINE_PENDING_BAR_ANALYSIS,,,,
