Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
38,WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,IN_NIFTY50,2026-09-24,45,44,-0.049134302292259999,-0.064672074283179795,-0.045520409097169645,-0.0499230339123201,-0.0036138931950903536,-0.014749040370859695,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
39,WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,IN_NIFTY50,2026-09-24,45,44,-0.086694314543575998,-0.025362689782742,-0.045520409097169645,-0.051158645413177703,-0.041173905446406353,0.025795955630435703,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
40,WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,IN_NIFTY50,2026-09-24,45,44,-0.041867419333560897,-0.0495147077980541,-0.046003916079232252,-0.051158645413177703,0.0041364967456713544,0.0016439376151236029,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
41,WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,IN_NIFTY50,2026-09-24,45,44,-0.0480748028621494,0.040365991479616101,-0.045520409097169645,-0.051158645413177703,-0.0025543937649797552,0.091524636892793804,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
42,WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,IN_NIFTY50,2026-09-24,45,44,-0.090573944822548394,-0.12818365779855159,-0.045520409097169645,-0.0499230339123201,-0.045053535725378749,-0.078260623886231492,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
43,WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,IN_NIFTY50,2026-09-24,45,44,0.036669970267591598,-0.072201545725855396,-0.046003916079232252,-0.0499230339123201,0.082673886346823849,-0.022278511813535296,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
44,WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,IN_NIFTY50,2026-09-24,45,44,-0.037580886012941697,-0.12535062219079801,-0.046003916079232252,-0.0499230339123201,0.0084230300662905544,-0.075427588278477911,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
45,WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,IN_NIFTY50,2026-09-24,45,44,-0.041015625,0.034555401781658002,-0.046003916079232252,-0.051158645413177703,0.0049882910792322516,0.085714047194835705,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
46,WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,IN_NIFTY50,2026-09-24,45,44,0.025175843057753101,-0.084181427245620402,-0.046003916079232252,-0.0499230339123201,0.071179759136985349,-0.034258393333300302,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
47,WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,IN_NIFTY50,2026-09-24,45,44,-0.033136477706616999,-0.0112773787204368,-0.046003916079232252,-0.051158645413177703,0.012867438372615253,0.039881266692740905,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
48,WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,IN_NIFTY50,2026-09-24,45,44,-0.028084714548802899,-0.00085193462497570004,-0.046003916079232252,-0.051158645413177703,0.017919201530429352,0.050306710788202001,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
49,WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,IN_NIFTY50,2026-09-24,45,44,-0.061750908914058801,-0.069513101258115897,-0.045520409097169645,-0.0499230339123201,-0.016230499816889156,-0.019590067345795797,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
