WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:ENGI11,ENGI11,,UNVERIFIED_EQUITY_SECURITY,Brazil,ENGI11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:MOTV3,MOTV3,,UNVERIFIED_EQUITY_SECURITY,Brazil,MOTV3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:TIMS3,TIMS3,,UNVERIFIED_EQUITY_SECURITY,Brazil,TIMS3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ALOS3,ALOS3,,UNVERIFIED_EQUITY_SECURITY,Brazil,ALOS3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:EGIE3,EGIE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,EGIE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ISAE4,ISAE4,,UNVERIFIED_EQUITY_SECURITY,Brazil,ISAE4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ASAI3,ASAI3,,UNVERIFIED_EQUITY_SECURITY,Brazil,ASAI3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CXSE3,CXSE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CXSE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:LREN3,LREN3,,UNVERIFIED_EQUITY_SECURITY,Brazil,LREN3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:SANB11,SANB11,,UNVERIFIED_EQUITY_SECURITY,Brazil,SANB11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
