WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XKRX:180640,Hanjin KAL,,UNVERIFIED_EQUITY_SECURITY,South Korea,180640,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:161390,Hankook,,UNVERIFIED_EQUITY_SECURITY,South Korea,161390,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:000240,Hankook & Company,,UNVERIFIED_EQUITY_SECURITY,South Korea,000240,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:128940,Hanmi Pharm,,UNVERIFIED_EQUITY_SECURITY,South Korea,128940,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:008930,Hanmi Science,,UNVERIFIED_EQUITY_SECURITY,South Korea,008930,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:042700,Hanmi Semiconductor,,UNVERIFIED_EQUITY_SECURITY,South Korea,042700,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:018880,Hanon Systems,,UNVERIFIED_EQUITY_SECURITY,South Korea,018880,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:014680,Hansol Chemical,,UNVERIFIED_EQUITY_SECURITY,South Korea,014680,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:009240,Hanssem,,UNVERIFIED_EQUITY_SECURITY,South Korea,009240,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
WS:XKRX:000880,Hanwha,,UNVERIFIED_EQUITY_SECURITY,South Korea,000880,Korea Exchange,XKRX,KRW,,,KR_KOSPI200,KR_KOSPI200,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,KR_KOSPI200_WIKI,2026-08-23,2026-08-23T21:30:40.322690+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/KOSPI_200; identity/provider mapping pending
