WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XNZE:SKL,Skellerup Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SKL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SKO,Serko Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SKO,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SKT,Sky Network Television Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SKT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SPG,Stride Property Ltd & Stride Investment Management Ltd,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SPG,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SPK,Spark New Zealand Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SPK,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SUM,Summerset Group Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SUM,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:THL,Tourism Holdings Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,THL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:TRA,Turners Automotive Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,TRA,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:VCT,Vector Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,VCT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:VGL,Vista Group International Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,VGL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:VHP,Vital Healthcare Property Trust,,UNVERIFIED_EQUITY_SECURITY,New Zealand,VHP,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:VSL,Vulcan Steel Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,VSL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:WBC,Westpac Banking Corporation,,UNVERIFIED_EQUITY_SECURITY,New Zealand,WBC,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:WHS,The Warehouse Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,WHS,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
