WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:XPAR:SESFD.PA,SESG.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,A shares,A shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SGEF.PA,DG.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SGOB.PA,SGO.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SOGN.PA,GLE.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SOIT.PA,SOI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SOPR.PA,SOP.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:STDM.PA,DIM.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:TCFP.PA,HO.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:TEPRF.PA,TEP.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:TTEF.PA,TTE.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
