WS_ID,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_AsOf_UTC,Evidence_Status
WS:XMIL:CPRI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:CRDI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:EMII.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:ENEI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:GASI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:HRA.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:ITPG.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:LDOF.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:NEXII.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:RECI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:SPMI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:TENR.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:TLIT.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:UNPI.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XOSL:GJFG.OL,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:ACCP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:AIRP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:ALSO.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:AXAF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:BIOX.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:BNPP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:BOLL.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:BOUY.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:CAGR.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:CAPP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:CARR.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:CVO.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:DANO.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:DAST.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:ENGIE.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:ESLX.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:EUFI.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:EXHO.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:FOUG.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:GETP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:GFCP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:HRMS.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:LEGD.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:LOIM.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:LVMH.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:MICP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:NEXS.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:ORAN.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:OREP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:PERP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:PRTP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:PUBP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:RENA.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:RUBF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SASY.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SCHN.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SCOR.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SESFD.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SGEF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SGOB.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SOGN.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SOIT.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:SOPR.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:STDM.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:TCFP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:TEPRF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:TTEF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:VLLP.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XPAR:VLOF.PA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:ADDTB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:ASSAB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:ATCOA.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:AVANZ.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:BALDB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:BEIJB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:EPIRA.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:ERICB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:ESSITYB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:EVOG.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:GETIB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:HEXAB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:HMB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:HOLMB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:INDUC.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:INVEB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:LAGRB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:LATOB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:LIFCOB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:LUNDB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:NIBEB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:OCTVSDB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SAABB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SAGAB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SCAB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
