WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US87651B1044:XNAS,AXON,US87651B1044,XNAS,Axon Enterprise,ADMIT,PASS,PREFERRED,386781942.0,ELIGIBLE,NO
US1:US05722G1004:XNYS,BKR,US05722G1004,XNYS,Baker Hughes,ADMIT,PASS,PREFERRED,312561065.24,ELIGIBLE,NO
US1:US0584981064:XNYS,BALL,US0584981064,XNYS,Ball Corporation,ADMIT,PASS,PREFERRED,86944654.87,ELIGIBLE,NO
US1:US0605051046:XNYS,BAC,US0605051046,XNYS,Bank of America,ADMIT,PASS,PREFERRED,1513781841.36,ELIGIBLE,NO
US1:US0718131099:XNYS,BAX,US0718131099,XNYS,Baxter International,ADMIT,PASS,PREFERRED,109285062.28,ELIGIBLE,NO
US1:US0758871091:XNYS,BDX,US0758871091,XNYS,Becton Dickinson,ADMIT,PASS,PREFERRED,238286848.13,ELIGIBLE,NO
US1:US0865161014:XNYS,BBY,US0865161014,XNYS,Best Buy,ADMIT,PASS,PREFERRED,242734148.55,ELIGIBLE,NO
US1:US09073M1045:XNAS,TECH,US09073M1045,XNAS,Bio-Techne,ADMIT,PASS,PREFERRED,142455973.7,ELIGIBLE,NO
US1:US09062X1037:XNAS,BIIB,US09062X1037,XNAS,Biogen,ADMIT,PASS,PREFERRED,126981606.22,ELIGIBLE,NO
US1:US09247X1019:XNYS,BLK,US09247X1019,XNYS,BlackRock,ADMIT,PASS,PREFERRED,541369017.74,ELIGIBLE,NO
US1:US09253U1088:XNYS,BX,US09253U1088,XNYS,Blackstone Inc.,ADMIT,PASS,PREFERRED,404259622.92,ELIGIBLE,NO
US1:US8522341036:XNYS,XYZ,US8522341036,XNYS,"Block, Inc.",ADMIT,PASS,PREFERRED,265690912.78,ELIGIBLE,NO
US1:US0640581007:XNYS,BNY,US0640581007,XNYS,The Bank of New York Mellon,ADMIT,PASS,PREFERRED,322529856.51,ELIGIBLE,NO
US1:US0970231058:XNYS,BA,US0970231058,XNYS,Boeing,ADMIT,PASS,PREFERRED,882578326.73,ELIGIBLE,NO
US1:US09857L1089:XNAS,BKNG,US09857L1089,XNAS,priceline.com,ADMIT,PASS,PREFERRED,850446082.77,ELIGIBLE,NO
US1:US1011371077:XNYS,BSX,US1011371077,XNYS,Boston Scientific,ADMIT,PASS,PREFERRED,749060328.78,ELIGIBLE,NO
US1:US1101221083:XNYS,BMY,US1101221083,XNYS,Bristol-Myers Squibb,ADMIT,PASS,PREFERRED,425691011.94,ELIGIBLE,NO
US1:US11135F1012:XNAS,AVGO,US11135F1012,XNAS,Broadcom,ADMIT,PASS,PREFERRED,6145144221.26,ELIGIBLE,NO
US1:US11133T1034:XNYS,BR,US11133T1034,XNYS,Broadridge Financial Solutions,ADMIT,PASS,PREFERRED,179580857.8,ELIGIBLE,NO
US1:US1152361010:XNYS,BRO,US1152361010,XNYS,Brown & Brown,ADMIT,PASS,PREFERRED,98137426.73,ELIGIBLE,NO
US1:US1156371007:XNYS,BF-B,US1156371007,XNYS,Brown-Forman,ADMIT,PASS,PREFERRED,46758206.3,ELIGIBLE,NO
US1:US12008R1077:XNYS,BLDR,US12008R1077,XNYS,Builders FirstSource,ADMIT,PASS,PREFERRED,101333308.21,ELIGIBLE,NO
