WS_ID,Yahoo_Symbol,Liquidity_Class,MedianTurnover20_EUR,Usable20,FX,Quote_Scale
US1:US5801351017:XNYS,MCD,PREFERRED,953113854.7,20,USDEUR=X,1
US1:US58155Q1031:XNYS,MCK,PREFERRED,683889929.1,20,USDEUR=X,1
US1:US58933Y1055:XNYS,MRK,PREFERRED,1152172853.09,20,USDEUR=X,1
US1:US30303M1027:XNAS,META,PREFERRED,7785856567.99,20,USDEUR=X,1
US1:US59156R1086:XNYS,MET,PREFERRED,222676678.32,20,USDEUR=X,1
US1:US5926881054:XNYS,MTD,PREFERRED,179872822.3,20,USDEUR=X,1
US1:US5529531015:XNYS,MGM,PREFERRED,66111894.43,20,USDEUR=X,1
US1:US5950171042:XNAS,MCHP,PREFERRED,495597757.92,20,USDEUR=X,1
US1:US5951121038:XNAS,MU,PREFERRED,21957426608.75,20,USDEUR=X,1
US1:US5949181045:XNAS,MSFT,PREFERRED,9617864327.39,20,USDEUR=X,1
US1:US60770K1079:XNAS,MRNA,PREFERRED,2201529944.77,20,USDEUR=X,1
US1:US60871R2094:XNYS,TAP,PREFERRED,82186342.56,20,USDEUR=X,1
US1:US6092071058:XNAS,MDLZ,PREFERRED,377038371.15,20,USDEUR=X,1
US1:US6098391054:XNAS,MPWR,PREFERRED,597315002.18,20,USDEUR=X,1
US1:US6117401017:XNAS,MNST,PREFERRED,381926087.06,20,USDEUR=X,1
US1:US6153691059:XNYS,MCO,PREFERRED,285595579.97,20,USDEUR=X,1
US1:US6174464486:XNYS,MS,PREFERRED,696633741.31,20,USDEUR=X,1
US1:US61945C1036:XNYS,MOS,PREFERRED,152078643.76,20,USDEUR=X,1
US1:US6200763075:XNYS,MSI,PREFERRED,358895810.64,20,USDEUR=X,1
US1:US55354G1004:XNYS,MSCI,PREFERRED,247129407.11,20,USDEUR=X,1
US1:US6311031081:XNAS,NDAQ,PREFERRED,200972689.28,20,USDEUR=X,1
US1:US64120L1044:XNAS,NTAP,PREFERRED,367950772.87,20,USDEUR=X,1
US1:US64110L1061:XNAS,NFLX,PREFERRED,1837053495.97,20,USDEUR=X,1
US1:US6516391066:XNYS,NEM,PREFERRED,787699548.62,20,USDEUR=X,1
US1:US3025711041:XNYS,NEE,PREFERRED,754602990.25,20,USDEUR=X,1
US1:US6541061031:XNYS,NKE,PREFERRED,840046076.03,20,USDEUR=X,1
US1:US65473P1057:XNYS,NI,PREFERRED,190163965.96,20,USDEUR=X,1
US1:US6556631025:XNAS,NDSN,PREFERRED,103449148.3,20,USDEUR=X,1
US1:US6558441084:XNYS,NSC,PREFERRED,334465910.69,20,USDEUR=X,1
US1:US6658591044:XNAS,NTRS,PREFERRED,146968460.24,20,USDEUR=X,1
US1:US6668071029:XNYS,NOC,PREFERRED,323297265.51,20,USDEUR=X,1
US1:US6293775085:XNYS,NRG,PREFERRED,225746528.97,20,USDEUR=X,1
US1:US6703461052:XNYS,NUE,PREFERRED,253111495.42,20,USDEUR=X,1
US1:US67066G1040:XNAS,NVDA,PREFERRED,21462751979.38,20,USDEUR=X,1
US1:US62944T1051:XNYS,NVR,PREFERRED,176814578.02,20,USDEUR=X,1
US1:US67103H1077:XNAS,ORLY,PREFERRED,328135556.17,20,USDEUR=X,1
US1:US6745991058:XNYS,OXY,PREFERRED,356290343.52,20,USDEUR=X,1
US1:US6795801009:XNAS,ODFL,PREFERRED,256251764.42,20,USDEUR=X,1
US1:US6819191064:XNYS,OMC,PREFERRED,144703780.81,20,USDEUR=X,1
US1:US6821891057:XNAS,ON,PREFERRED,444225709.64,20,USDEUR=X,1
