Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q1128160,XNYS,US1:US21036P1084:XNYS,STZ,US21036P1084,1,ELIGIBLE,unapplied to 1633
Q1129792,XNYS,US1:US2166484020:XNYS,COO,US2166484020,1,ELIGIBLE,unapplied to 1633
Q16951448,XNAS,US1:US2172041061:XNAS,CPRT,US2172041061,1,ELIGIBLE,unapplied to 1633
Q5842736,XNYS,US1:US2193501051:XNYS,GLW,US2193501051,1,ELIGIBLE,unapplied to 1633
Q16838618,XNYS,US1:US3390411052:XNYS,CPAY,US3390411052,1,ELIGIBLE,unapplied to 1633
Q63197674,XNYS,US1:US22052L1044:XNYS,CTVA,US22052L1044,1,ELIGIBLE,unapplied to 1633
Q715583,XNAS,US1:US22160K1051:XNAS,COST,US22160K1051,1,ELIGIBLE,unapplied to 1633
Q24890758,XNAS,US1:US22788C1053:XNAS,CRWD,US22788C1053,1,ELIGIBLE,unapplied to 1633
Q173476,XNYS,US1:US2310211063:XNYS,CMI,US2310211063,1,ELIGIBLE,unapplied to 1633
Q624375,XNYS,US1:US1266501006:XNYS,CVS,US1266501006,1,ELIGIBLE,unapplied to 1633
Q1159256,XNYS,US1:US2358511028:XNYS,DHR,US2358511028,1,ELIGIBLE,unapplied to 1633
Q742196,XNYS,US1:US2371941053:XNYS,DRI,US2371941053,1,ELIGIBLE,unapplied to 1633
Q16248637,XNAS,US1:US23804L1035:XNAS,DDOG,US23804L1035,1,ELIGIBLE,unapplied to 1633
Q5207184,XNYS,US1:US23918K1088:XNYS,DVA,US23918K1088,1,ELIGIBLE,unapplied to 1633
Q496302,XNYS,US1:US2441991054:XNYS,DE,US2441991054,1,ELIGIBLE,unapplied to 1633
Q188920,XNYS,US1:US2473617023:XNYS,DAL,US2473617023,1,ELIGIBLE,unapplied to 1633
Q1206980,XNYS,US1:US25179M1036:XNYS,DVN,US25179M1036,1,ELIGIBLE,unapplied to 1633
Q15109865,XNAS,US1:US2521311074:XNAS,DXCM,US2521311074,1,ELIGIBLE,unapplied to 1633
Q65091423,XNAS,US1:US25278X1090:XNAS,FANG,US25278X1090,1,ELIGIBLE,unapplied to 1633
Q145168,XNYS,US1:US2566771059:XNYS,DG,US2566771059,1,ELIGIBLE,unapplied to 1633
Q5289230,XNAS,US1:US2567461080:XNAS,DLTR,US2567461080,1,ELIGIBLE,unapplied to 1633
Q677464,XNYS,US1:US25746U1097:XNYS,D,US25746U1097,1,ELIGIBLE,unapplied to 1633
Q839466,XNYS,US1:US25754A2015:XNYS,DPZ,US25754A2015,1,ELIGIBLE,unapplied to 1633
Q16974527,XNYS,US1:US2600031080:XNYS,DOV,US2600031080,1,ELIGIBLE,unapplied to 1633
Q5203782,XNYS,US1:US23331A1097:XNYS,DHI,US23331A1097,1,ELIGIBLE,unapplied to 1633
Q1264404,XNYS,US1:US26441C2044:XNYS,DUK,US26441C2044,1,ELIGIBLE,unapplied to 1633
Q221062,XNYS,US1:US2635341090:XNYS,DD,US2635341090,1,ELIGIBLE,unapplied to 1633
Q58024,XNAS,US1:US2786421030:XNAS,EBAY,US2786421030,1,ELIGIBLE,unapplied to 1633
Q1280748,XNAS,US1:US2787681061:XNAS,ECHO,US2787681061,1,ELIGIBLE,unapplied to 1633
Q1282031,XNYS,US1:US2788651006:XNYS,ECL,US2788651006,1,ELIGIBLE,unapplied to 1633
Q662095,XNYS,US1:US2810201077:XNYS,EIX,US2810201077,1,ELIGIBLE,unapplied to 1633
Q16966841,XNYS,US1:US28176E1082:XNYS,EW,US28176E1082,1,ELIGIBLE,unapplied to 1633
Q677488,XNYS,US1:US0367521038:XNYS,ELV,US0367521038,1,ELIGIBLE,unapplied to 1633
Q5370289,XNYS,US1:US29084Q1004:XNYS,EME,US29084Q1004,1,ELIGIBLE,unapplied to 1633
Q1335585,XNYS,US1:US2910111044:XNYS,EMR,US2910111044,1,ELIGIBLE,unapplied to 1633
Q1344587,XNYS,US1:US29364G1031:XNYS,ETR,US29364G1031,1,ELIGIBLE,unapplied to 1633
Q1275577,XNYS,US1:US26875P1012:XNYS,EOG,US26875P1012,1,ELIGIBLE,unapplied to 1633
Q5323987,XNYS,US1:US26884L1098:XNYS,EQT,US26884L1098,1,ELIGIBLE,unapplied to 1633
Q5384453,XNYS,US1:US2944291051:XNYS,EFX,US2944291051,1,ELIGIBLE,unapplied to 1633
Q1260606,XNYS,US1:US5184391044:XNYS,EL,US5184391044,1,ELIGIBLE,unapplied to 1633
Q7987107,XNYS,US1:US30034W1062:XNYS,EVRG,US30034W1062,1,ELIGIBLE,unapplied to 1633
Q3344199,XNYS,US1:US30040W1080:XNYS,ES,US30040W1080,1,ELIGIBLE,unapplied to 1633
Q1383669,XNYS,US1:US30161N1019:XNYS,EXC,US30161N1019,1,ELIGIBLE,unapplied to 1633
Q2962826,XNAS,US1:US1651671075:XNAS,EXE,US1651671075,1,ELIGIBLE,unapplied to 1633
Q8085893,XNAS,US1:US30212P3038:XNAS,EXPE,US30212P3038,1,ELIGIBLE,unapplied to 1633
Q1384324,XNAS,US1:US3021301094:XNAS,EXPD,US3021301094,1,ELIGIBLE,unapplied to 1633
Q156238,XNYS,US1:US30231G1022:XNYS,XOM,US30231G1022,1,ELIGIBLE,unapplied to 1633
Q3029296,XNAS,US1:US3156161024:XNAS,FFIV,US3156161024,1,ELIGIBLE,unapplied to 1633
Q1885491,XNYS,US1:US3030751057:XNYS,FDS,US3030751057,1,ELIGIBLE,unapplied to 1633
Q1392999,XNYS,US1:US3032501047:XNYS,FICO,US3032501047,1,ELIGIBLE,unapplied to 1633
Q3067119,XNAS,US1:US3119001044:XNAS,FAST,US3119001044,1,ELIGIBLE,unapplied to 1633
