WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:ISIN:TW0002303005,2303.TW,EXPLICIT,2303,XTAI,TWD
WS:US:DUK,DUK,EXPLICIT,DUK,,USD
WS:US:CMI,CMI,EXPLICIT,CMI,,USD
WS:XSHE:002916,002916.SZ,EXPLICIT,002916,XSHE,CNY
WS:XSHG:601318,601318.SS,EXPLICIT,601318,XSHG,CNY
WS:US:AZO,AZO,EXPLICIT,AZO,,USD
WS:US:JCI,JCI,EXPLICIT,JCI,,USD
WS:XSHE:002415,002415.SZ,EXPLICIT,002415,XSHE,CNY
WS:XSHG:603893,603893.SS,EXPLICIT,603893,XSHG,CNY
WS:XTKS:8411,8411.T,EXPLICIT,8411,XTKS,JPY
WS:US:APO,APO,EXPLICIT,APO,,USD
WS:US:AXON,AXON,EXPLICIT,AXON,,USD
WS:US:SLB,SLB,EXPLICIT,SLB,,USD
WS:US:TWLO,TWLO,EXPLICIT,TWLO,,USD
WS:US:PGR,PGR,EXPLICIT,PGR,,USD
WS:US:TDG,TDG,EXPLICIT,TDG,,USD
WS:XTKS:9983,9983.T,EXPLICIT,9983,XTKS,JPY
WS:US:URI,URI,EXPLICIT,URI,,USD
WS:US:RCL,RCL,EXPLICIT,RCL,,USD
WS:ISIN:KYG989221000,4958.TW,EXPLICIT,4958,XTAI,TWD
WS:XTKS:8316,8316.T,EXPLICIT,8316,XTKS,JPY
WS:US:HUM,HUM,EXPLICIT,HUM,,USD
WS:XTKS:7203,7203.T,EXPLICIT,7203,XTKS,JPY
WS:US:TTWO,TTWO,EXPLICIT,TTWO,,USD
WS:US:MMM,MMM,EXPLICIT,MMM,,USD
WS:XSHG:600549,600549.SS,EXPLICIT,600549,XSHG,CNY
WS:US:CI,CI,EXPLICIT,CI,,USD
WS:US:TEL,TEL,EXPLICIT,TEL,,USD
WS:US:FSLR,FSLR,EXPLICIT,FSLR,,USD
WS:US:HCA,HCA,EXPLICIT,HCA,,USD
WS:XSHE:002594,002594.SZ,EXPLICIT,002594,XSHE,CNY
WS:US:SO,SO,EXPLICIT,SO,,USD
WS:XSHG:601288,601288.SS,EXPLICIT,601288,XSHG,CNY
WS:US:UPS,UPS,EXPLICIT,UPS,,USD
WS:US:FDX,FDX,EXPLICIT,FDX,,USD
WS:US:CME,CME,EXPLICIT,CME,,USD
WS:US:CTSH,CTSH,EXPLICIT,CTSH,,USD
WS:US:PLD,PLD,EXPLICIT,PLD,,USD
WS:US:OXY,OXY,EXPLICIT,OXY,,USD
WS:US:EBAY,EBAY,EXPLICIT,EBAY,,USD
WS:US:AEP,AEP,EXPLICIT,AEP,,USD
WS:ISIN:TW0001303006,1303.TW,EXPLICIT,1303,XTAI,TWD
WS:US:DVN,DVN,EXPLICIT,DVN,,USD
WS:US:CCL,CCL,EXPLICIT,CCL,,USD
WS:US:NTAP,NTAP,EXPLICIT,NTAP,,USD
WS:US:WM,WM,EXPLICIT,WM,,USD
WS:US:WMB,WMB,EXPLICIT,WMB,,USD
WS:US:ORLY,ORLY,EXPLICIT,ORLY,,USD
WS:US:FERG,FERG,EXPLICIT,FERG,,USD
WS:US:ADSK,ADSK,EXPLICIT,ADSK,,USD
WS:US:EXPE,EXPE,EXPLICIT,EXPE,,USD
WS:XSHG:600900,600900.SS,EXPLICIT,600900,XSHG,CNY
WS:US:DXCM,DXCM,EXPLICIT,DXCM,,USD
WS:XSHG:601398,601398.SS,EXPLICIT,601398,XSHG,CNY
WS:US:MDLZ,MDLZ,EXPLICIT,MDLZ,,USD
WS:XSHE:002353,002353.SZ,EXPLICIT,002353,XSHE,CNY
WS:XSHG:600036,600036.SS,EXPLICIT,600036,XSHG,CNY
WS:XSHG:600030,600030.SS,EXPLICIT,600030,XSHG,CNY
WS:US:DAL,DAL,EXPLICIT,DAL,,USD
WS:US:ALL,ALL,EXPLICIT,ALL,,USD
WS:US:CRH,CRH,EXPLICIT,CRH,,USD
WS:US:IBKR,IBKR,EXPLICIT,IBKR,,USD
WS:US:PCG,PCG,EXPLICIT,PCG,,USD
WS:US:DLR,DLR,EXPLICIT,DLR,,USD
WS:US:EMR,EMR,EXPLICIT,EMR,,USD
WS:US:COR,COR,EXPLICIT,COR,,USD
WS:US:ROKU,ROKU,EXPLICIT,ROKU,,USD
WS:XTKS:7011,7011.T,EXPLICIT,7011,XTKS,JPY
WS:US:KVUE,KVUE,EXPLICIT,KVUE,,USD
WS:US:GM,GM,EXPLICIT,GM,,USD
WS:US:CAH,CAH,EXPLICIT,CAH,,USD
WS:ISIN:TW0003231007,3231.TW,EXPLICIT,3231,XTAI,TWD
WS:US:LHX,LHX,EXPLICIT,LHX,,USD
WS:US:MTZ,MTZ,EXPLICIT,MTZ,,USD
WS:US:MET,MET,EXPLICIT,MET,,USD
WS:US:MARA,MARA,EXPLICIT,MARA,,USD
WS:US:MSI,MSI,EXPLICIT,MSI,,USD
WS:XSHE:300418,300418.SZ,EXPLICIT,300418,XSHE,CNY
WS:US:HIMS,HIMS,EXPLICIT,HIMS,,USD
