Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Required_Canonical_NonFinite_Count,Affected_Features
WSSEC:WS:XASX:PRU,WS:XASX:PRU,XASX,PRU,0,
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,0,
WSSEC:WS:XASX:QBE,WS:XASX:QBE,XASX,QBE,0,
WSSEC:WS:XASX:REA,WS:XASX:REA,XASX,REA,0,
WSSEC:WS:XASX:RHC,WS:XASX:RHC,XASX,RHC,0,
WSSEC:WS:XASX:RIO,WS:XASX:RIO,XASX,RIO,0,
WSSEC:WS:XASX:RMS,WS:XASX:RMS,XASX,RMS,0,
WSSEC:WS:XASX:RRL,WS:XASX:RRL,XASX,RRL,0,
WSSEC:WS:XASX:S32,WS:XASX:S32,XASX,S32,0,
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,0,
WSSEC:WS:XASX:SFR,WS:XASX:SFR,XASX,SFR,0,
WSSEC:WS:XASX:SHL,WS:XASX:SHL,XASX,SHL,0,
WSSEC:WS:XASX:SIG,WS:XASX:SIG,XASX,SIG,0,
WSSEC:WS:XASX:STO,WS:XASX:STO,XASX,STO,0,
WSSEC:WS:XASX:SUN,WS:XASX:SUN,XASX,SUN,0,
WSSEC:WS:XASX:TLC,WS:XASX:TLC,XASX,TLC,0,
WSSEC:WS:XASX:TLS,WS:XASX:TLS,XASX,TLS,0,
WSSEC:WS:XASX:TLX,WS:XASX:TLX,XASX,TLX,0,
WSSEC:WS:XASX:WBC,WS:XASX:WBC,XASX,WBC,0,
WSSEC:WS:XASX:WDS,WS:XASX:WDS,XASX,WDS,0,
WSSEC:WS:XASX:WES,WS:XASX:WES,XASX,WES,0,
WSSEC:WS:XASX:WGX,WS:XASX:WGX,XASX,WGX,0,
WSSEC:WS:XASX:WHC,WS:XASX:WHC,XASX,WHC,0,
WSSEC:WS:XASX:WOW,WS:XASX:WOW,XASX,WOW,0,
WSSEC:WS:XASX:WTC,WS:XASX:WTC,XASX,WTC,0,
WSSEC:WS:XASX:ZIP,WS:XASX:ZIP,XASX,ZIP,0,
WSSEC:WS:XNAS:AAL,WS:XNAS:AAL,XNAS,AAL,0,
WSSEC:WS:XNAS:AAON,WS:XNAS:AAON,XNAS,AAON,0,
WSSEC:WS:XNAS:AAPL,WS:XNAS:AAPL,XNAS,AAPL,0,
WSSEC:WS:XNAS:ABNB,WS:XNAS:ABNB,XNAS,ABNB,0,
WSSEC:WS:XNAS:ADBE,WS:XNAS:ADBE,XNAS,ADBE,0,
WSSEC:WS:XNAS:ADI,WS:XNAS:ADI,XNAS,ADI,0,
WSSEC:WS:XNAS:ADP,WS:XNAS:ADP,XNAS,ADP,0,
WSSEC:WS:XNAS:ADSK,WS:XNAS:ADSK,XNAS,ADSK,0,
WSSEC:WS:XNAS:AEIS,WS:XNAS:AEIS,XNAS,AEIS,0,
WSSEC:WS:XNAS:AKAM,WS:XNAS:AKAM,XNAS,AKAM,0,
WSSEC:WS:XNAS:ALGM,WS:XNAS:ALGM,XNAS,ALGM,0,
WSSEC:WS:XNAS:ALGN,WS:XNAS:ALGN,XNAS,ALGN,0,
WSSEC:WS:XNAS:AMAT,WS:XNAS:AMAT,XNAS,AMAT,0,
WSSEC:WS:XNAS:AMGN,WS:XNAS:AMGN,XNAS,AMGN,0,
WSSEC:WS:XNAS:AMKR,WS:XNAS:AMKR,XNAS,AMKR,0,
WSSEC:WS:XNAS:AMZN,WS:XNAS:AMZN,XNAS,AMZN,0,
WSSEC:WS:XNAS:APP,WS:XNAS:APP,XNAS,APP,0,
WSSEC:WS:XNAS:APPF,WS:XNAS:APPF,XNAS,APPF,0,
WSSEC:WS:XNAS:ARWR,WS:XNAS:ARWR,XNAS,ARWR,0,
WSSEC:WS:XNAS:AVAV,WS:XNAS:AVAV,XNAS,AVAV,0,
WSSEC:WS:XNAS:AVGO,WS:XNAS:AVGO,XNAS,AVGO,0,
WSSEC:WS:XNAS:AVT,WS:XNAS:AVT,XNAS,AVT,0,
WSSEC:WS:XNAS:BHF,WS:XNAS:BHF,XNAS,BHF,0,
WSSEC:WS:XNAS:BIIB,WS:XNAS:BIIB,XNAS,BIIB,0,
WSSEC:WS:XNAS:BKNG,WS:XNAS:BKNG,XNAS,BKNG,0,
WSSEC:WS:XNAS:BMRN,WS:XNAS:BMRN,XNAS,BMRN,0,
WSSEC:WS:XNAS:BRKR,WS:XNAS:BRKR,XNAS,BRKR,0,
WSSEC:WS:XNAS:BSY,WS:XNAS:BSY,XNAS,BSY,0,
WSSEC:WS:XNAS:BTSG,WS:XNAS:BTSG,XNAS,BTSG,0,
WSSEC:WS:XNAS:CAR,WS:XNAS:CAR,XNAS,CAR,0,
WSSEC:WS:XNAS:CART,WS:XNAS:CART,XNAS,CART,0,
WSSEC:WS:XNAS:CASY,WS:XNAS:CASY,XNAS,CASY,0,
WSSEC:WS:XNAS:CBOE,WS:XNAS:CBOE,XNAS,CBOE,0,
WSSEC:WS:XNAS:CBSH,WS:XNAS:CBSH,XNAS,CBSH,0,
WSSEC:WS:XNAS:CDNS,WS:XNAS:CDNS,XNAS,CDNS,0,
WSSEC:WS:XNAS:CDW,WS:XNAS:CDW,XNAS,CDW,0,
WSSEC:WS:XNAS:CELH,WS:XNAS:CELH,XNAS,CELH,0,
WSSEC:WS:XNAS:CG,WS:XNAS:CG,XNAS,CG,0,
WSSEC:WS:XNAS:CGNX,WS:XNAS:CGNX,XNAS,CGNX,0,
WSSEC:WS:XNAS:CHDN,WS:XNAS:CHDN,XNAS,CHDN,0,
WSSEC:WS:XNAS:CHRD,WS:XNAS:CHRD,XNAS,CHRD,0,
WSSEC:WS:XNAS:CHRW,WS:XNAS:CHRW,XNAS,CHRW,0,
WSSEC:WS:XNAS:CINF,WS:XNAS:CINF,XNAS,CINF,0,
WSSEC:WS:XNAS:CME,WS:XNAS:CME,XNAS,CME,0,
WSSEC:WS:XNAS:COIN,WS:XNAS:COIN,XNAS,COIN,0,
WSSEC:WS:XNAS:COKE,WS:XNAS:COKE,XNAS,COKE,0,
WSSEC:WS:XNAS:COLB,WS:XNAS:COLB,XNAS,COLB,0,
WSSEC:WS:XNAS:COLM,WS:XNAS:COLM,XNAS,COLM,0,
WSSEC:WS:XNAS:COST,WS:XNAS:COST,XNAS,COST,0,
WSSEC:WS:XNAS:CPRT,WS:XNAS:CPRT,XNAS,CPRT,0,
WSSEC:WS:XNAS:CROX,WS:XNAS:CROX,XNAS,CROX,0,
WSSEC:WS:XNAS:CRUS,WS:XNAS:CRUS,XNAS,CRUS,0,
WSSEC:WS:XNAS:CRWD,WS:XNAS:CRWD,XNAS,CRWD,0,
WSSEC:WS:XNAS:CSCO,WS:XNAS:CSCO,XNAS,CSCO,0,
WSSEC:WS:XNAS:CTAS,WS:XNAS:CTAS,XNAS,CTAS,0,
WSSEC:WS:XNAS:CTSH,WS:XNAS:CTSH,XNAS,CTSH,0,
WSSEC:WS:XNAS:CVLT,WS:XNAS:CVLT,XNAS,CVLT,0,
WSSEC:WS:XNAS:CYTK,WS:XNAS:CYTK,XNAS,CYTK,0,
WSSEC:WS:XNAS:DBX,WS:XNAS:DBX,XNAS,DBX,0,
WSSEC:WS:XNAS:DDOG,WS:XNAS:DDOG,XNAS,DDOG,0,
WSSEC:WS:XNAS:DLTR,WS:XNAS:DLTR,XNAS,DLTR,0,
WSSEC:WS:XNAS:DOCU,WS:XNAS:DOCU,XNAS,DOCU,0,
WSSEC:WS:XNAS:DUOL,WS:XNAS:DUOL,XNAS,DUOL,0,
WSSEC:WS:XNAS:DXCM,WS:XNAS:DXCM,XNAS,DXCM,0,
WSSEC:WS:XNAS:EBAY,WS:XNAS:EBAY,XNAS,EBAY,0,
WSSEC:WS:XNAS:ECHO,WS:XNAS:ECHO,XNAS,ECHO,0,
WSSEC:WS:XNAS:EEFT,WS:XNAS:EEFT,XNAS,EEFT,0,
WSSEC:WS:XNAS:ENSG,WS:XNAS:ENSG,XNAS,ENSG,0,
WSSEC:WS:XNAS:ENTG,WS:XNAS:ENTG,XNAS,ENTG,0,
WSSEC:WS:XNAS:EWBC,WS:XNAS:EWBC,XNAS,EWBC,0,
WSSEC:WS:XNAS:EXEL,WS:XNAS:EXEL,XNAS,EXEL,0,
WSSEC:WS:XNAS:EXLS,WS:XNAS:EXLS,XNAS,EXLS,0,
WSSEC:WS:XNAS:EXPD,WS:XNAS:EXPD,XNAS,EXPD,0,
WSSEC:WS:XNAS:EXPE,WS:XNAS:EXPE,XNAS,EXPE,0,
WSSEC:WS:XNAS:EXPO,WS:XNAS:EXPO,XNAS,EXPO,0,
