WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:BVMF:SAUD3,SAUD3.SA,EXPLICIT,SAUD3,BVMF,BRL
WS:BVMF:SBSP3,SBSP3.SA,EXPLICIT,SBSP3,BVMF,BRL
WS:BVMF:SIMH3,SIMH3.SA,EXPLICIT,SIMH3,BVMF,BRL
WS:BVMF:SLCE3,SLCE3.SA,EXPLICIT,SLCE3,BVMF,BRL
WS:BVMF:SMFT3,SMFT3.SA,EXPLICIT,SMFT3,BVMF,BRL
WS:BVMF:SMTO3,SMTO3.SA,EXPLICIT,SMTO3,BVMF,BRL
WS:BVMF:SUZB3,SUZB3.SA,EXPLICIT,SUZB3,BVMF,BRL
WS:BVMF:TAEE11,TAEE11.SA,EXPLICIT,TAEE11,BVMF,BRL
WS:BVMF:TEND3,TEND3.SA,EXPLICIT,TEND3,BVMF,BRL
WS:BVMF:TIMS3,TIMS3.SA,EXPLICIT,TIMS3,BVMF,BRL
WS:BVMF:TOTS3,TOTS3.SA,EXPLICIT,TOTS3,BVMF,BRL
WS:BVMF:UGPA3,UGPA3.SA,EXPLICIT,UGPA3,BVMF,BRL
WS:BVMF:USIM5,USIM5.SA,EXPLICIT,USIM5,BVMF,BRL
WS:BVMF:VALE3,VALE3.SA,EXPLICIT,VALE3,BVMF,BRL
WS:BVMF:VAMO3,VAMO3.SA,EXPLICIT,VAMO3,BVMF,BRL
WS:BVMF:VBBR3,VBBR3.SA,EXPLICIT,VBBR3,BVMF,BRL
WS:BVMF:VIVA3,VIVA3.SA,EXPLICIT,VIVA3,BVMF,BRL
WS:BVMF:VIVT3,VIVT3.SA,EXPLICIT,VIVT3,BVMF,BRL
WS:BVMF:WEGE3,WEGE3.SA,EXPLICIT,WEGE3,BVMF,BRL
WS:BVMF:YDUQ3,YDUQ3.SA,EXPLICIT,YDUQ3,BVMF,BRL
WS:XTSE:AAUC,AAUC.TO,EXPLICIT,AAUC,XTSE,CAD
WS:XTSE:AAV,AAV.TO,EXPLICIT,AAV,XTSE,CAD
WS:XTSE:ABRA,ABRA.TO,EXPLICIT,ABRA,XTSE,CAD
